,Topic 8,Topic 9,Topic 11
3318,secretart/8.672294643474743e-05,adorableevilminions/1.7559261323185638e-05,adorableevilminions/2.797202796500642e-05
3319,historicalvillainupgrade/8.672294643474743e-05,randomeffectspell/1.7559261323185638e-05,randomeffectspell/2.797202796500642e-05
3320,smurfettebreakout/8.672294643474743e-05,coolhelmet/1.7559261323185638e-05,coolhelmet/2.797202796500642e-05
3321,proudwarriorracegirl/8.672294643474743e-05,swissarmyweapon/1.7559261323185638e-05,swissarmyweapon/2.797202796500642e-05
3322,planetofhats/8.672294643474743e-05,alliancemeter/1.7559261323185638e-05,alliancemeter/2.797202796500642e-05
3323,princessclassic/8.672294643474743e-05,masterofunlocking/1.7559261323185638e-05,masterofunlocking/2.797202796500642e-05
3324,splitpersonalitymerge/8.672294643474743e-05,purpleisthenewblack/1.7559261323185638e-05,purpleisthenewblack/2.797202796500642e-05
3325,distressball/8.672294643474743e-05,urbansegregation/1.7559261323185638e-05,urbansegregation/2.797202796500642e-05
3326,criticalfailure/8.672294643474743e-05,scorescreen/1.7559261323185638e-05,scorescreen/2.797202796500642e-05
3327,celibatehero/8.672294643474743e-05,catchingsomezs/1.7559261323185638e-05,catchingsomezs/2.797202796500642e-05
3328,peoplejars/8.672294643474743e-05,panderingtothebase/1.7559261323185638e-05,panderingtothebase/2.797202796500642e-05
3329,secretidentity/8.672294643474743e-05,pluckygirl/1.7559261323185638e-05,pluckygirl/2.797202796500642e-05
3330,mukokuseki/8.672294643474743e-05,warriorprince/1.7559261323185638e-05,warriorprince/2.797202796500642e-05
3331,inconsistentcoloring/8.672294643474743e-05,supernaturalgoldeyes/1.7559261323185638e-05,supernaturalgoldeyes/2.797202796500642e-05
3332,donottouchthefunnelcloud/8.672294643474743e-05,fallingchandelierofdoom/1.7559261323185638e-05,fallingchandelierofdoom/2.797202796500642e-05
3333,onecurselimit/8.672294643474743e-05,skillpointreset/1.7559261323185638e-05,skillpointreset/2.797202796500642e-05
3334,secretfinalcampaign/8.392633026232943e-05,bigdamnheroes/1.7559261323185638e-05,sophomoreslump/2.797202796500642e-05
3335,deathoftheoldgods/8.392633026232943e-05,playerdeathisdramatic/1.7559261323185638e-05,playerdeathisdramatic/2.797202796500642e-05
3336,memeticbystander/8.392633026232943e-05,angryguarddog/1.7559261323185638e-05,angryguarddog/2.797202796500642e-05
3337,ironicname/8.392633026232943e-05,directcontinuouslevels/1.7559261323185638e-05,directcontinuouslevels/2.797202796500642e-05
3338,powermakesyourvoicedeep/8.392633026232943e-05,dysfunctionjunction/1.7559261323185638e-05,dysfunctionjunction/2.797202796500642e-05
3339,bodyguardcrush/8.392633026232943e-05,outofgenreexperience/1.7559261323185638e-05,outofgenreexperience/2.797202796500642e-05
3340,phantomthief/8.392633026232943e-05,suicidemission/1.7559261323185638e-05,suicidemission/2.797202796500642e-05
3341,easternzodiac/8.392633026232943e-05,catfolk/1.7559261323185638e-05,catfolk/2.797202796500642e-05
3342,sensualspandex/8.392633026232943e-05,earnyourfun/1.7559261323185638e-05,earnyourfun/2.797202796500642e-05
3343,savetoken/8.392633026232943e-05,soproudofyou/1.7559261323185638e-05,soproudofyou/2.797202796500642e-05
3344,cannonfodder/8.392633026232943e-05,weusedtobefriends/1.7559261323185638e-05,weusedtobefriends/2.797202796500642e-05
3345,royalblood/8.392633026232943e-05,replacementgoldfish/1.7559261323185638e-05,replacementgoldfish/2.797202796500642e-05
3346,pathofmostresistance/8.392633026232943e-05,gladiatorgames/1.7559261323185638e-05,gladiatorgames/2.797202796500642e-05
3347,firewaterjuxtaposition/8.392633026232943e-05,lawofcartographicalelegance/1.7559261323185638e-05,lawofcartographicalelegance/2.797202796500642e-05
3348,everythingsbetterwithdinosaurs/8.392633026232943e-05,statusbuffdispel/1.7559261323185638e-05,statusbuffdispel/2.797202796500642e-05
3349,shapeshiftermodelock/8.392633026232943e-05,spikeballsofdoom/1.7559261323185638e-05,spikeballsofdoom/2.797202796500642e-05
3350,bigbadassbattlesequence/8.392633026232943e-05,nextsundayad/1.7559261323185638e-05,nextsundayad/2.797202796500642e-05
3351,ancientevil/8.392633026232943e-05,dragontheirfeet/1.7559261323185638e-05,dragontheirfeet/2.797202796500642e-05
3352,gunsvsswords/8.392633026232943e-05,morethanmindcontrol/1.7559261323185638e-05,morethanmindcontrol/2.797202796500642e-05
3353,youfool/8.392633026232943e-05,invoked/1.7559261323185638e-05,invoked/2.797202796500642e-05
3354,eviluncle/8.392633026232943e-05,oculothorax/1.7559261323185638e-05,oculothorax/2.797202796500642e-05
3355,notjustatournament/8.392633026232943e-05,dualworldgameplay/1.7559261323185638e-05,dualworldgameplay/2.797202796500642e-05
3356,dayoldlegend/8.392633026232943e-05,throwawayguns/1.7559261323185638e-05,throwawayguns/2.797202796500642e-05
3357,theycopieditsoitsucks/8.392633026232943e-05,girlyrun/1.7559261323185638e-05,girlyrun/2.797202796500642e-05
3358,omnicidalneutral/8.392633026232943e-05,troperiffic/1.7559261323185638e-05,troperiffic/2.797202796500642e-05
3359,furbikini/8.392633026232943e-05,episodicgame/1.7559261323185638e-05,episodicgame/2.797202796500642e-05
3360,mirroruniverse/8.392633026232943e-05,bossarenaurgency/1.7559261323185638e-05,bossarenaurgency/2.797202796500642e-05
3361,dressedtoplunder/8.392633026232943e-05,hackingminigame/1.7559261323185638e-05,hackingminigame/2.797202796500642e-05
3362,thewormthatwalks/8.392633026232943e-05,sicklygreenglow/1.7559261323185638e-05,sicklygreenglow/2.797202796500642e-05
3363,crossovercouple/8.392633026232943e-05,mercyrewarded/1.7559261323185638e-05,mercyrewarded/2.797202796500642e-05
3364,ambiguouslyrelated/8.392633026232943e-05,fisherking/1.7559261323185638e-05,fisherking/2.797202796500642e-05
3365,nothingbutskulls/8.392633026232943e-05,thosewackynazis/1.7559261323185638e-05,thosewackynazis/2.797202796500642e-05
3366,tokennonhuman/8.392633026232943e-05,alwaysabiggerfish/1.7559261323185638e-05,alwaysabiggerfish/2.797202796500642e-05
3367,forcedsleep/8.392633026232943e-05,castfrommoney/1.7559261323185638e-05,castfrommoney/2.797202796500642e-05
3368,mascotfighter/8.392633026232943e-05,circusoffear/1.7559261323185638e-05,circusoffear/2.797202796500642e-05
3369,ijustwanttobespecial/8.392633026232943e-05,injuredplayercharacterstage/1.7559261323185638e-05,injuredplayercharacterstage/2.797202796500642e-05
3370,muckinginthemud/8.392633026232943e-05,celebrityvoiceactor/1.7559261323185638e-05,celebrityvoiceactor/2.797202796500642e-05
3371,morepredatorsthanprey/8.392633026232943e-05,pyromaniac/1.7559261323185638e-05,pyromaniac/2.797202796500642e-05
3372,audienceparticipation/8.392633026232943e-05,hairraisinghare/1.7559261323185638e-05,hairraisinghare/2.797202796500642e-05
3373,heromustsurvive/8.392633026232943e-05,tobecontinued/1.7559261323185638e-05,tobecontinued/2.797202796500642e-05
3374,chessmotifs/8.392633026232943e-05,selffulfillingprophecy/1.7559261323185638e-05,selffulfillingprophecy/2.797202796500642e-05
3375,hourofpower/8.392633026232943e-05,onlythechosenmaywield/1.7559261323185638e-05,onlythechosenmaywield/2.797202796500642e-05
3376,underboobs/8.392633026232943e-05,instakillmook/1.7559261323185638e-05,instakillmook/2.797202796500642e-05
3377,vaporware/8.392633026232943e-05,intrafranchisecrossover/1.7559261323185638e-05,intrafranchisecrossover/2.797202796500642e-05
3378,missionfromgod/8.392633026232943e-05,tomatosurprise/1.7559261323185638e-05,tomatosurprise/2.797202796500642e-05
3379,shieldsareuseless/8.392633026232943e-05,felonymisdemeanor/1.7559261323185638e-05,felonymisdemeanor/2.797202796500642e-05
3380,propertightswithaskirt/8.392633026232943e-05,flawedprototype/1.7559261323185638e-05,flawedprototype/2.797202796500642e-05
3381,adorableevilminions/8.392633026232943e-05,gamerchick/1.7559261323185638e-05,gamerchick/2.797202796500642e-05
3382,traumainducedamnesia/8.392633026232943e-05,launchermove/1.7559261323185638e-05,launchermove/2.797202796500642e-05
3383,elementnumberfive/8.392633026232943e-05,seldomseenspecies/1.7559261323185638e-05,seldomseenspecies/2.797202796500642e-05
3384,aquestgiverisyou/8.392633026232943e-05,vagueage/1.7559261323185638e-05,vagueage/2.797202796500642e-05
3385,heroesrus/8.392633026232943e-05,mechanicallifeforms/1.7559261323185638e-05,mechanicallifeforms/2.797202796500642e-05
3386,formfittingwardrobe/8.392633026232943e-05,snakepeople/1.7559261323185638e-05,snakepeople/2.797202796500642e-05
3387,alllovinghero/8.392633026232943e-05,videogametutorial/1.7559261323185638e-05,videogametutorial/2.797202796500642e-05
3388,humblehero/8.392633026232943e-05,advancedancientacropolis/1.7559261323185638e-05,advancedancientacropolis/2.797202796500642e-05
3389,reimaginingtheartifact/8.392633026232943e-05,minimalistrun/1.7559261323185638e-05,minimalistrun/2.797202796500642e-05
3390,techtree/8.392633026232943e-05,playerguidedmissile/1.7559261323185638e-05,playerguidedmissile/2.797202796500642e-05
3391,weaponizedball/8.392633026232943e-05,armorpiercingquestion/1.7559261323185638e-05,armorpiercingquestion/2.797202796500642e-05
3392,mysticalwhitehair/8.392633026232943e-05,backforthedead/1.7559261323185638e-05,backforthedead/2.797202796500642e-05
3393,raisedbywolves/8.392633026232943e-05,weaponizedexhaust/1.7559261323185638e-05,weaponizedexhaust/2.797202796500642e-05
3394,thesmurfetteprinciple/8.392633026232943e-05,wolverinepublicity/1.7559261323185638e-05,wolverinepublicity/2.797202796500642e-05
3395,rollingattack/8.392633026232943e-05,thevoice/1.7559261323185638e-05,thevoice/2.797202796500642e-05
3396,mementomacguffin/8.392633026232943e-05,tranquilfury/1.7559261323185638e-05,tranquilfury/2.797202796500642e-05
3397,flatcharacter/8.392633026232943e-05,charactertitle/1.7559261323185638e-05,charactertitle/2.797202796500642e-05
3398,allyourcolorscombined/8.392633026232943e-05,ijustwanttobenormal/1.7559261323185638e-05,ijustwanttobenormal/2.797202796500642e-05
3399,knockbackevasion/8.392633026232943e-05,trickarrow/1.7559261323185638e-05,trickarrow/2.797202796500642e-05
3400,eyedialect/8.392633026232943e-05,prehistoria/1.7559261323185638e-05,prehistoria/2.797202796500642e-05
3401,informedattractiveness/8.392633026232943e-05,simonsaysminigame/1.7559261323185638e-05,simonsaysminigame/2.797202796500642e-05
3402,girlwithpsychoweapon/8.392633026232943e-05,finalsolution/1.7559261323185638e-05,finalsolution/2.797202796500642e-05
3403,kissofdeath/8.392633026232943e-05,elaborateequalseffective/1.7559261323185638e-05,elaborateequalseffective/2.797202796500642e-05
3404,multiplegameopenings/8.392633026232943e-05,bugwar/1.7559261323185638e-05,bugwar/2.797202796500642e-05
3405,goingcommando/8.392633026232943e-05,absurdlylowlevelcap/1.7559261323185638e-05,absurdlylowlevelcap/2.797202796500642e-05
3406,soundtrackcovercharacterjam/8.392633026232943e-05,transformationtrinket/1.7559261323185638e-05,transformationtrinket/2.797202796500642e-05
3407,earnyourhappyending/8.392633026232943e-05,godisevil/1.7559261323185638e-05,godisevil/2.797202796500642e-05
3408,themagiccomesback/8.392633026232943e-05,beardofevil/1.7559261323185638e-05,beardofevil/2.797202796500642e-05
3409,heel/8.392633026232943e-05,zipmode/1.7559261323185638e-05,zipmode/2.797202796500642e-05
3410,impossibletheft/8.392633026232943e-05,sanitymeter/1.7559261323185638e-05,sanitymeter/2.797202796500642e-05
3411,weaktofire/8.392633026232943e-05,aliensarebastards/1.7559261323185638e-05,aliensarebastards/2.797202796500642e-05
3412,togetherindeath/8.392633026232943e-05,herowithbadpublicity/1.7559261323185638e-05,herowithbadpublicity/2.797202796500642e-05
3413,youdonotwanttoknow/8.392633026232943e-05,combatsadomasochist/1.7559261323185638e-05,combatsadomasochist/2.797202796500642e-05
3414,blindweaponmaster/8.392633026232943e-05,conspiracythriller/1.7559261323185638e-05,conspiracythriller/2.797202796500642e-05
3415,psychoprototype/8.392633026232943e-05,emotionlessgirl/1.7559261323185638e-05,emotionlessgirl/2.797202796500642e-05
3416,mutualkill/8.392633026232943e-05,welldonesonguy/1.7559261323185638e-05,welldonesonguy/2.797202796500642e-05
3417,orphanedwebcomic/8.392633026232943e-05,hubunderattack/1.7559261323185638e-05,hubunderattack/2.797202796500642e-05
3418,supersoldier/8.392633026232943e-05,stellarname/1.7559261323185638e-05,stellarname/2.797202796500642e-05
3419,ifightforthestrongestside/8.392633026232943e-05,groundpunch/1.7559261323185638e-05,groundpunch/2.797202796500642e-05
3420,hateplague/8.392633026232943e-05,powerupmagnet/1.7559261323185638e-05,powerupmagnet/2.797202796500642e-05
3421,killeryoyo/8.392633026232943e-05,itmayhelpyouonyourquest/1.7559261323185638e-05,itmayhelpyouonyourquest/2.797202796500642e-05
3422,thecorrupter/8.392633026232943e-05,evilutionarybiologist/1.7559261323185638e-05,evilutionarybiologist/2.797202796500642e-05
3423,likebrotherandsister/8.392633026232943e-05,lawfulstupid/1.7559261323185638e-05,lawfulstupid/2.797202796500642e-05
3424,tropemakers/8.392633026232943e-05,theunchosenone/1.7559261323185638e-05,theunchosenone/2.797202796500642e-05
3425,crycute/8.392633026232943e-05,commandandconquereconomy/1.7559261323185638e-05,commandandconquereconomy/2.797202796500642e-05
3426,trainingboss/8.392633026232943e-05,composers/1.7559261323185638e-05,composers/2.797202796500642e-05
3427,jeannedarchetype/8.392633026232943e-05,stylishaction/1.7559261323185638e-05,stylishaction/2.797202796500642e-05
3428,uptowngirl/8.392633026232943e-05,theemperor/1.7559261323185638e-05,theemperor/2.797202796500642e-05
3429,pitifulworms/8.392633026232943e-05,tragickeepsake/1.7559261323185638e-05,tragickeepsake/2.797202796500642e-05
3430,tomboyishname/8.392633026232943e-05,actuallyprettyfunny/1.7559261323185638e-05,actuallyprettyfunny/2.797202796500642e-05
3431,tasteslikefriendship/8.392633026232943e-05,deathbyadaptation/1.7559261323185638e-05,deathbyadaptation/2.797202796500642e-05
3432,lamarckwasright/8.392633026232943e-05,sharedlifemeter/1.7559261323185638e-05,sharedlifemeter/2.797202796500642e-05
3433,figureitoutyourself/8.392633026232943e-05,becauseyouwerenicetome/1.7559261323185638e-05,becauseyouwerenicetome/2.797202796500642e-05
3434,pleasekillmeifitsatisfiesyou/8.392633026232943e-05,flingalightintothefuture/1.7559261323185638e-05,flingalightintothefuture/2.797202796500642e-05
3435,theturretmaster/8.392633026232943e-05,mediumblending/1.7559261323185638e-05,mediumblending/2.797202796500642e-05
3436,weareasmayflies/8.392633026232943e-05,logicbomb/1.7559261323185638e-05,logicbomb/2.797202796500642e-05
3437,theingenue/8.392633026232943e-05,dancepartyending/1.7559261323185638e-05,dancepartyending/2.797202796500642e-05
3438,recurringbosstemplate/8.392633026232943e-05,puzzleboss/1.7559261323185638e-05,fictionalcounterpart/2.797202796500642e-05
3439,everyonelovesblondes/8.392633026232943e-05,bigredbutton/1.7559261323185638e-05,bigredbutton/2.797202796500642e-05
3440,outgambitted/8.392633026232943e-05,gooutwithasmile/1.7559261323185638e-05,gooutwithasmile/2.797202796500642e-05
3441,actualpacifist/8.392633026232943e-05,sinistergeometry/1.7559261323185638e-05,sinistergeometry/2.797202796500642e-05
3442,dracula/8.112972136586905e-05,chasingyourtail/1.7559261323185638e-05,chasingyourtail/2.797202796500642e-05
3443,wizardduel/8.112972136586905e-05,themockbuster/1.7559261323185638e-05,themockbuster/2.797202796500642e-05
3444,ourwyvernsaredifferent/8.112972136586905e-05,artisticlicensemilitary/1.7559261323185638e-05,artisticlicensemilitary/2.797202796500642e-05
3445,implausiblefencingpowers/8.112972136586905e-05,sourcemusic/1.7559261323185638e-05,sourcemusic/2.797202796500642e-05
3446,woodenkatanasareevenbetter/8.112972136586905e-05,trashtalk/1.7559261323185638e-05,trashtalk/2.797202796500642e-05
3447,escapedfromhell/8.112972136586905e-05,rearrangethesong/1.7559261323185638e-05,rearrangethesong/2.797202796500642e-05
3448,attackdrone/8.112972136586905e-05,epilepticflashinglights/1.7559261323185638e-05,epilepticflashinglights/2.797202796500642e-05
3449,maneatingplant/8.112972136586905e-05,adognameddog/1.7559261323185638e-05,adognameddog/2.797202796500642e-05
3450,mirroredconfrontationshot/8.112972136586905e-05,playboybunny/1.7559261323185638e-05,playboybunny/2.797202796500642e-05
3451,thematicseries/8.112972136586905e-05,depthperplexion/1.7559261323185638e-05,depthperplexion/2.797202796500642e-05
3452,scaryimpracticalarmor/8.112972136586905e-05,contentwarnings/1.7559261323185638e-05,contentwarnings/2.797202796500642e-05
3453,mamabear/8.112972136586905e-05,quicksandsucks/1.7559261323185638e-05,quicksandsucks/2.797202796500642e-05
3454,bewaretheniceones/8.112972136586905e-05,archerarchetype/1.7559261323185638e-05,archerarchetype/2.797202796500642e-05
3455,technicolorninjas/8.112972136586905e-05,waddlinghead/1.7559261323185638e-05,waddlinghead/2.797202796500642e-05
3456,versuscharactersplash/8.112972136586905e-05,mooddissonance/1.7559261323185638e-05,mooddissonance/2.797202796500642e-05
3457,theantichrist/8.112972136586905e-05,percentdamageattack/1.7559261323185638e-05,percentdamageattack/2.797202796500642e-05
3458,chaosisevil/8.112972136586905e-05,elegantgothiclolita/1.7559261323185638e-05,elegantgothiclolita/2.797202796500642e-05
3459,sacredbowandarrows/8.112972136586905e-05,deathglare/1.7559261323185638e-05,deathglare/2.797202796500642e-05
3460,weaponizedoffspring/8.112972136586905e-05,weaponizedoffspring/1.7559261323185638e-05,weaponizedoffspring/2.797202796500642e-05
3461,wendigo/8.112972136586905e-05,animorphism/1.7559261323185638e-05,animorphism/2.797202796500642e-05
3462,really700yearsold/8.112972136586905e-05,bfg/1.7559261323185638e-05,gridinventory/2.797202796500642e-05
3463,pureisnotgood/8.112972136586905e-05,andyourrewardisinteriordecorating/1.7559261323185638e-05,andyourrewardisinteriordecorating/2.797202796500642e-05
3464,yonkoma/8.112972136586905e-05,covertpervert/1.7559261323185638e-05,covertpervert/2.797202796500642e-05
3465,bonsaiforest/8.112972136586905e-05,cycleofrevenge/1.7559261323185638e-05,cycleofrevenge/2.797202796500642e-05
3466,utilitypartymember/8.112972136586905e-05,canonidentifier/1.7559261323185638e-05,canonidentifier/2.797202796500642e-05
3467,ineedyoustronger/8.112972136586905e-05,invisibleadvertising/1.7559261323185638e-05,invisibleadvertising/2.797202796500642e-05
3468,bodysurf/8.112972136586905e-05,thethemeparkversion/1.7559261323185638e-05,thethemeparkversion/2.797202796500642e-05
3469,idiosyncraticshipnaming/8.112972136586905e-05,cityguards/1.7559261323185638e-05,cityguards/2.797202796500642e-05
3470,gamemaker/8.112972136586905e-05,onesizefitsall/1.7559261323185638e-05,onesizefitsall/2.797202796500642e-05
3471,montyhaul/8.112972136586905e-05,lonewolfboss/1.7559261323185638e-05,lonewolfboss/2.797202796500642e-05
3472,sinsofourfathers/8.112972136586905e-05,powerequalsrarity/1.7559261323185638e-05,powerequalsrarity/2.797202796500642e-05
3473,saharanshipwreck/8.112972136586905e-05,suddendownerending/1.7559261323185638e-05,suddendownerending/2.797202796500642e-05
3474,atlantisisboring/8.112972136586905e-05,evilversusoblivion/1.7559261323185638e-05,evilversusoblivion/2.797202796500642e-05
3475,panacea/8.112972136586905e-05,bilingualbonus/1.7559261323185638e-05,powernullifier/2.797202796500642e-05
3476,evilmakesyoumonstrous/8.112972136586905e-05,gunaccessories/1.7559261323185638e-05,gunaccessories/2.797202796500642e-05
3477,crossoveralternateuniverse/8.112972136586905e-05,chickmagnet/1.7559261323185638e-05,chickmagnet/2.797202796500642e-05
3478,eternalequinox/8.112972136586905e-05,tohellandback/1.7559261323185638e-05,tohellandback/2.797202796500642e-05
3479,imtakingherhomewithme/8.112972136586905e-05,plottunnel/1.7559261323185638e-05,plottunnel/2.797202796500642e-05
3480,involuntarydance/8.112972136586905e-05,nowwhichonewasthatvoice/1.7559261323185638e-05,nowwhichonewasthatvoice/2.797202796500642e-05
3481,plaguemaster/8.112972136586905e-05,wildmassguessing/1.7559261323185638e-05,wildmassguessing/2.797202796500642e-05
3482,thehedgeofthorns/8.112972136586905e-05,beammeupscotty/1.7559261323185638e-05,beammeupscotty/2.797202796500642e-05
3483,forestofperpetualautumn/8.112972136586905e-05,sevendeadlysins/1.7559261323185638e-05,sevendeadlysins/2.797202796500642e-05
3484,finaldeathmode/8.112972136586905e-05,walkingspoiler/1.7559261323185638e-05,walkingspoiler/2.797202796500642e-05
3485,thebladealwayslandspointyendin/8.112972136586905e-05,zombiegait/1.7559261323185638e-05,zombiegait/2.797202796500642e-05
3486,thunderhammer/8.112972136586905e-05,gasshole/1.7559261323185638e-05,gasshole/2.797202796500642e-05
3487,becomearealboy/8.112972136586905e-05,psychopathicmanchild/1.7559261323185638e-05,psychopathicmanchild/2.797202796500642e-05
3488,placeofpower/8.112972136586905e-05,shoutoutthemenaming/1.7559261323185638e-05,shoutoutthemenaming/2.797202796500642e-05
3489,delinquents/8.112972136586905e-05,youareincommandnow/1.7559261323185638e-05,youareincommandnow/2.797202796500642e-05
3490,cutandpastetranslation/8.112972136586905e-05,cutandpastetranslation/1.7559261323185638e-05,cutandpastetranslation/2.797202796500642e-05
3491,genocidebackfire/8.112972136586905e-05,tykebomb/1.7559261323185638e-05,tykebomb/2.797202796500642e-05
3492,justfriends/8.112972136586905e-05,fauxsymbolism/1.7559261323185638e-05,fauxsymbolism/2.797202796500642e-05
3493,onetomilliontoone/8.112972136586905e-05,nocommunitieswereharmed/1.7559261323185638e-05,nocommunitieswereharmed/2.797202796500642e-05
3494,losingtheteamspirit/8.112972136586905e-05,sirswearsalot/1.7559261323185638e-05,sirswearsalot/2.797202796500642e-05
3495,antihoarding/8.112972136586905e-05,snowmeansdeath/1.7559261323185638e-05,snowmeansdeath/2.797202796500642e-05
3496,rivalsteamup/8.112972136586905e-05,buxomisbetter/1.7559261323185638e-05,buxomisbetter/2.797202796500642e-05
3497,youwannagetsued/8.112972136586905e-05,brandx/1.7559261323185638e-05,brandx/2.797202796500642e-05
3498,thirdeye/8.112972136586905e-05,ribcageridge/1.7559261323185638e-05,ribcageridge/2.797202796500642e-05
3499,antiantichrist/8.112972136586905e-05,karlmarxhatesyourguts/1.7559261323185638e-05,karlmarxhatesyourguts/2.797202796500642e-05
3500,moonrabbit/8.112972136586905e-05,atlantis/1.7559261323185638e-05,atlantis/2.797202796500642e-05
3501,ronin/8.112972136586905e-05,identityamnesia/1.7559261323185638e-05,identityamnesia/2.797202796500642e-05
3502,personalitypowers/8.112972136586905e-05,gratuitousspanish/1.7559261323185638e-05,gratuitousspanish/2.797202796500642e-05
3503,goldmakeseverythingshiny/8.112972136586905e-05,overdrawnatthebloodbank/1.7559261323185638e-05,overdrawnatthebloodbank/2.797202796500642e-05
3504,evolutionarylevels/8.112972136586905e-05,railingkill/1.7559261323185638e-05,railingkill/2.797202796500642e-05
3505,clothesmakethelegend/8.112972136586905e-05,mirrorworld/1.7559261323185638e-05,mirrorworld/2.797202796500642e-05
3506,likesolderwomen/8.112972136586905e-05,crystalspiresandtogas/1.7559261323185638e-05,crystalspiresandtogas/2.797202796500642e-05
3507,intheirownimage/8.112972136586905e-05,donotdropyourweapon/1.7559261323185638e-05,donotdropyourweapon/2.797202796500642e-05
3508,thunderboltiron/8.112972136586905e-05,prettylittleheadshots/1.7559261323185638e-05,prettylittleheadshots/2.797202796500642e-05
3509,moneyfetish/8.112972136586905e-05,russianvideogames/1.7559261323185638e-05,russianvideogames/2.797202796500642e-05
3510,unnamedparent/8.112972136586905e-05,grapplemove/1.7559261323185638e-05,grapplemove/2.797202796500642e-05
3511,decadentcourt/8.112972136586905e-05,swordplant/1.7559261323185638e-05,swordplant/2.797202796500642e-05
3512,fleshgolem/8.112972136586905e-05,facialhorror/1.7559261323185638e-05,facialhorror/2.797202796500642e-05
3513,franchisecodifier/8.112972136586905e-05,hauntedcastle/1.7559261323185638e-05,hauntedcastle/2.797202796500642e-05
3514,macguffinguardian/8.112972136586905e-05,magicfromtechnology/1.7559261323185638e-05,magicfromtechnology/2.797202796500642e-05
3515,justtoyingwiththem/8.112972136586905e-05,damagereduction/1.7559261323185638e-05,damagereduction/2.797202796500642e-05
3516,encyclopediaexposita/8.112972136586905e-05,theallegedcar/1.7559261323185638e-05,theallegedcar/2.797202796500642e-05
3517,motherofathousandyoung/8.112972136586905e-05,ediblethemenaming/1.7559261323185638e-05,ediblethemenaming/2.797202796500642e-05
3518,reluctantwarrior/8.112972136586905e-05,friendlysniper/1.7559261323185638e-05,friendlysniper/2.797202796500642e-05
3519,spoonybard/8.112972136586905e-05,robeandwizardhat/1.7559261323185638e-05,robeandwizardhat/2.797202796500642e-05
3520,worldsundering/8.112972136586905e-05,savethevillain/1.7559261323185638e-05,savethevillain/2.797202796500642e-05
3521,bythepowerofgrayskull/8.112972136586905e-05,impossibleitemdrop/1.7559261323185638e-05,impossibleitemdrop/2.797202796500642e-05
3522,cheapgoldcoins/8.112972136586905e-05,proprecycling/1.7559261323185638e-05,proprecycling/2.797202796500642e-05
3523,bodytojewel/7.833310519345105e-05,godhoodseeker/1.7559261323185638e-05,godhoodseeker/2.797202796500642e-05
3524,strongerwithage/7.833310519345105e-05,weakturretgun/1.7559261323185638e-05,weakturretgun/2.797202796500642e-05
3525,spoilercover/7.833310519345105e-05,thequisling/1.7559261323185638e-05,thequisling/2.797202796500642e-05
3526,leaveyourquesttest/7.833310519345105e-05,beenthereshapedhistory/1.7559261323185638e-05,beenthereshapedhistory/2.797202796500642e-05
3527,weaponskitchensink/7.833310519345105e-05,trueneutral/1.7559261323185638e-05,trueneutral/2.797202796500642e-05
3528,purpleprose/7.833310519345105e-05,gottacatchthemall/1.7559261323185638e-05,fanficsof20152019/2.797202796500642e-05
3529,propheteyes/7.833310519345105e-05,terraform/1.7559261323185638e-05,terraform/2.797202796500642e-05
3530,shapeshifterweapon/7.833310519345105e-05,orchestralversion/1.7559261323185638e-05,orchestralversion/2.797202796500642e-05
3531,trytofitthatonabusinesscard/7.833310519345105e-05,amplifierartifact/1.7559261323185638e-05,amplifierartifact/2.797202796500642e-05
3532,tearsfromastone/7.833310519345105e-05,seeyouinhell/1.7559261323185638e-05,seeyouinhell/2.797202796500642e-05
3533,lootbox/7.833310519345105e-05,cheesestrategy/1.7559261323185638e-05,cheesestrategy/2.797202796500642e-05
3534,stockanimaldiet/7.833310519345105e-05,newworldtease/1.7559261323185638e-05,newworldtease/2.797202796500642e-05
3535,thevirus/7.833310519345105e-05,avengingthevillain/1.7559261323185638e-05,avengingthevillain/2.797202796500642e-05
3536,miniatureseniorcitizens/7.833310519345105e-05,hollerbutton/1.7559261323185638e-05,hollerbutton/2.797202796500642e-05
3537,beginwithafinisher/7.833310519345105e-05,waitingpuzzle/1.7559261323185638e-05,waitingpuzzle/2.797202796500642e-05
3538,jawdrop/7.833310519345105e-05,bigfancyhouse/1.7559261323185638e-05,bigfancyhouse/2.797202796500642e-05
3539,repeatcut/7.833310519345105e-05,olympusmons/1.7559261323185638e-05,olympusmons/2.797202796500642e-05
3540,quaddamage/7.833310519345105e-05,noobbridge/1.7559261323185638e-05,noobbridge/2.797202796500642e-05
3541,thisissomethinghesgottodohimself/7.833310519345105e-05,heelfacerevolvingdoor/1.7559261323185638e-05,heelfacerevolvingdoor/2.797202796500642e-05
3542,nonhumanslackattributes/7.833310519345105e-05,siblingteam/1.7559261323185638e-05,siblingteam/2.797202796500642e-05
3543,siblingrivalry/7.833310519345105e-05,deconstructiongame/1.7559261323185638e-05,deconstructiongame/2.797202796500642e-05
3544,ourwerebeastsaredifferent/7.833310519345105e-05,pointdefenseless/1.7559261323185638e-05,pointdefenseless/2.797202796500642e-05
3545,randomlygeneratedloot/7.833310519345105e-05,themaincharactersdoeverything/1.7559261323185638e-05,themaincharactersdoeverything/2.797202796500642e-05
3546,thecavalry/7.833310519345105e-05,justfollowingorders/1.7559261323185638e-05,justfollowingorders/2.797202796500642e-05
