Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
equalopportunityevil/0.0012748922716030496,vampiredoctor/0.003861003861003861,familyofchoice/0.0026527397828069303,changingclothesisafreeaction/0.000525990505871369,eightieshair/0.0032266738370529714,longrunnercastturnover/0.0028322880841594174,retrouniverse/0.004022385449457853,touchofdeath/0.003486750348675035,worfhadtheflu/0.0015559762454293198,cyberspace/0.0025758443045220377,breakouthit/0.002020950520394759,piggybank/0.002682563338301043,multiculturalalienplanet/0.0022240756185710315,secondaryadaptation/0.003094966606939241,donotadjustyourset/0.00329663494433041,,undercovercopreveal/0.0018331133597301657,servantrace/0.0025954198473282443,livingshadow/0.0022764227642276423,guiltbyassociationgag/0.0041566746602717825,closerangecombatant/0.0030437188710570003,breadeggsbreadedeggs/0.0029355456285896616,brokenwinlossstreak/0.0034338038916444107,umbrellaoftogetherness/0.0031630170316301704,weddingepisode/0.0018421425534929858,redemptionpromotion/0.0029277813923227064,panderingtothebase/0.002904443799012489,reallyseventeenyearsold/0.0015977503674825845,doortodoorepisode/0.0018893670620342186,queermedia/0.0040365040365040366,tanktreadmecha/0.002764127764127764,apocalypsehow/0.00332541567695962,,adaptationfirst/0.0028790786948176585,putthemalloutofmymisery/0.0024372152167002224,yellowperil/0.003865073787772312,horroranimeandmanga/0.0019298034012784947,hypocrite/0.0034512143161482744
endingaversion/0.0012748922716030496,personalizedafterlife/0.003861003861003861,couldhaveavoidedthisplot/0.0026527397828069303,flashbackeffects/0.000525990505871369,gainaxending/0.0032266738370529714,arealmanisakiller/0.0028322880841594174,thenameisbondjamesbond/0.004022385449457853,seers/0.003486750348675035,goodscarsevilscars/0.0015559762454293198,timecrash/0.0025758443045220377,breakthroughhit/0.002020950520394759,bubblepipe/0.002682563338301043,eldritchstarship/0.0022240756185710315,castspeciation/0.003094966606939241,missioncontrol/0.00329663494433041,,electrifiedbathtub/0.0017597888253409592,mateordie/0.0025954198473282443,tokenhuman/0.0022764227642276423,nobodytouchesthehair/0.0041566746602717825,themaker/0.0030437188710570003,strangemindsthinkalike/0.0029355456285896616,loserprotagonist/0.0034338038916444107,highschoolsweethearts/0.0031630170316301704,happydance/0.0018421425534929858,equippableally/0.0029277813923227064,bleachedunderpants/0.002904443799012489,someofmybestfriendsarex/0.0015977503674825845,brotherhoodoffunnyhats/0.0018893670620342186,coitusuninterruptus/0.0040365040365040366,robeast/0.002764127764127764,nightmarefuel/0.00332541567695962,,beergasm/0.0028790786948176585,cutewitch/0.0024372152167002224,sympatheticinspectorantagonist/0.003865073787772312,futilehandreach/0.0019298034012784947,cerebussyndrome/0.0034086067319982955
hiddeninplainsight/0.0012748922716030496,breakingandbloodsucking/0.0032175032175032173,sadist/0.0026527397828069303,jokerjury/0.000525990505871369,throwthedogabone/0.0031728959397687552,unkemptbeauty/0.0028322880841594174,servilesnarker/0.003934942287513116,canon/0.003486750348675035,coolversusawesome/0.0015559762454293198,scarydogmaticaliens/0.0024804426636138143,goodcopbadcop/0.002020950520394759,toothfairy/0.002682563338301043,perfectpacifistpeople/0.0022240756185710315,bitpartbadguys/0.003094966606939241,andthenwhat/0.00329663494433041,,trespassingtotalk/0.0017597888253409592,savethispersonsavetheworld/0.0025954198473282443,frankensteinsmonster/0.0022764227642276423,uncattyresemblance/0.0041566746602717825,justthefirstcitizen/0.0030437188710570003,fourtemperamentensemble/0.0029355456285896616,girlyrun/0.0034338038916444107,compulsoryschoolage/0.0031630170316301704,obnoxiousinlaws/0.0018421425534929858,tigerversusdragon/0.0028193450444589027,seppuku/0.002831832704037177,wheredawhitewomenat/0.0015977503674825845,autotune/0.0018893670620342186,gayngst/0.003861003861003861,atasteofpower/0.002764127764127764,onemanarmy/0.00332541567695962,,implausiblehaircolor/0.0028790786948176585,loyalphlebotinum/0.0024372152167002224,deepcoveragent/0.003865073787772312,sinisterscimitar/0.0019298034012784947,bitchinsheepsclothing/0.003365999147848317
roomfullofcrazy/0.0012748922716030496,iloveyouvampireson/0.0032175032175032173,friendlessbackground/0.002611290723700572,voicechangeling/0.000525990505871369,hiddenheartofgold/0.0031728959397687552,butiplayoneontv/0.002731134938296581,wrenchwench/0.003934942287513116,myskullrunnethover/0.003486750348675035,fourisdeath/0.0015559762454293198,aliensarebastards/0.0024804426636138143,cult/0.002020950520394759,christmaselves/0.002682563338301043,insufficientlyadvancedalien/0.0022240756185710315,trickarrow/0.003094966606939241,horrifyingthehorror/0.00329663494433041,,offonatechnicality/0.0017597888253409592,runningtheasylum/0.0025954198473282443,villainteamup/0.0022764227642276423,dotheyknowitschristmastime/0.0041566746602717825,shiningcity/0.0030437188710570003,freakyfridayflip/0.002893001489044884,bookworm/0.0034338038916444107,devotedtoyou/0.0031630170316301704,blackcomedyburst/0.0018421425534929858,sizeshifter/0.0028193450444589027,fartillery/0.002831832704037177,gotoalias/0.0015977503674825845,battylipburbling/0.0018893670620342186,athreesomeishot/0.003861003861003861,promotedtoplayable/0.002764127764127764,notsoharmlessvillain/0.0032575500508992194,,bluewithshock/0.0028790786948176585,thegoodking/0.0024372152167002224,waithere/0.003865073787772312,iamwho/0.0019298034012784947,deathglare/0.003365999147848317
youwouldntshootme/0.0012748922716030496,alucard/0.0032175032175032173,shrugofgod/0.002611290723700572,formerlyfit/0.000525990505871369,pungeonmaster/0.0031728959397687552,morningsickness/0.002731134938296581,tvgenius/0.0038474991255683807,souljar/0.0033705253370525335,ihaveyounowmypretty/0.0015559762454293198,mindprobe/0.0024804426636138143,brainybrunette/0.002020950520394759,animaltalk/0.002682563338301043,microts/0.0022240756185710315,powerlossmakesyoustrong/0.0029320736276266493,alternateuniversefic/0.003234434285003421,,convictionbycontradiction/0.0017597888253409592,rippleeffectindicator/0.0025954198473282443,eatenalive/0.0022764227642276423,signingoffcatchphrase/0.0041566746602717825,unknowncharacter/0.0030437188710570003,alphabitch/0.002893001489044884,loveletterlunacy/0.0034338038916444107,elaborateuniversityhigh/0.0031630170316301704,eattheevidence/0.0018421425534929858,speculativefictionseries/0.0028193450444589027,chastehero/0.002831832704037177,comicsutra/0.0015338403527832812,anticipatorybreathspray/0.0017844022252545397,everyoneisbi/0.0036855036855036856,wonthewarlostthepeace/0.002457002457002457,darkisnotevil/0.0032575500508992194,,yamatonadeshiko/0.0028790786948176585,magicalgirlwarrior/0.0024372152167002224,whoareyou/0.003865073787772312,wordscanbreakmybones/0.0019298034012784947,happilymarried/0.003323391563698338
evilcripple/0.0012493944261709885,hauntedfetter/0.0032175032175032173,cryintochest/0.002611290723700572,butterflyofdoom/0.000525990505871369,rockpaperscissors/0.0031728959397687552,allofthem/0.002731134938296581,ourghostsaredifferent/0.0038474991255683807,flyingbrick/0.0033705253370525335,throwingyourswordalwaysworks/0.0015559762454293198,thesearethingsmanwasnotmeanttoknow/0.0024804426636138143,continuityporn/0.002020950520394759,walktheplank/0.002682563338301043,dugtoodeep/0.002085070892410342,takeoverthecity/0.0029320736276266493,ihatepastme/0.003234434285003421,,itsforabook/0.0017597888253409592,justbeforetheend/0.0025954198473282443,theguardsmustbecrazy/0.0022764227642276423,mockingsingsong/0.0041566746602717825,changelingtale/0.0030437188710570003,didntthinkthisthrough/0.002893001489044884,onegenderschool/0.0034338038916444107,naughtynurseoutfit/0.0031630170316301704,runninggagged/0.0017949081290444477,everythingsbetterwithsamurai/0.0028193450444589027,coversalwayslie/0.002831832704037177,glorifiedspermdonor/0.0015338403527832812,funwithflushing/0.0017844022252545397,liebackandthinkofengland/0.0036855036855036856,reportingnames/0.002457002457002457,whydontyoujustshoothim/0.0032575500508992194,,sparklingstreamoftears/0.0028790786948176585,beyondredemption/0.0024372152167002224,fightscenefailure/0.003865073787772312,oneheroholdtheweaksauce/0.0019298034012784947,tearjerker/0.003323391563698338
famedinstory/0.0012493944261709885,vampiredance/0.0032175032175032173,whatisthisthingyoucalllove/0.002611290723700572,sandinmyeyes/0.000525990505871369,righthandcat/0.0031728959397687552,idontwanttoruinourfriendship/0.002731134938296581,magicalsecuritycam/0.0038474991255683807,hornydevils/0.0033705253370525335,lawfulneutral/0.0015300433080054979,plotsensitivebutton/0.0024804426636138143,youdonotwanttoknow/0.001987268011721513,impossibleshadowpuppets/0.002682563338301043,ourgraphicswillsuckinthefuture/0.002085070892410342,relateddifferentlyintheadaptation/0.0029320736276266493,evilformerfriend/0.003234434285003421,,disposablevagrant/0.0017597888253409592,aliensneverinventedthewheel/0.0025954198473282443,andnowyoumustmarryme/0.0022222222222222222,maythefarcebewithyou/0.0041566746602717825,menacingstroll/0.0030437188710570003,fridgelogic/0.002850457349500106,pickyeater/0.0034338038916444107,uke/0.0031630170316301704,whatarerecords/0.0017949081290444477,spotlightstealingcrossover/0.0028193450444589027,obligatoryswearing/0.002831832704037177,racialfaceblindness/0.0015338403527832812,antirolemodel/0.0017844022252545397,virginshaming/0.0036855036855036856,slaponthewristnuke/0.002457002457002457,unexplainedrecovery/0.003189684424838819,,delinquenthair/0.0028790786948176585,rememberedicouldfly/0.0024372152167002224,friendontheforce/0.003865073787772312,soulpower/0.0019298034012784947,reallifewritestheplot/0.0032807839795483597
bountyhunter/0.0012493944261709885,demotedmemories/0.0032175032175032173,misplacedretribution/0.002611290723700572,singleepisodehandicap/0.0005128407432245848,neatfreak/0.0031728959397687552,titledafterthesong/0.002731134938296581,youjusthadtosayit/0.0038474991255683807,punyearthlings/0.0033705253370525335,powerglows/0.0015300433080054979,pretendtobebrainwashed/0.0024804426636138143,daydreamsurprise/0.001987268011721513,wewantouridiotback/0.002682563338301043,youcannotkillanidea/0.002085070892410342,masssuperempoweringevent/0.0029320736276266493,hideyourlesbians/0.003234434285003421,,theallegedboss/0.0017597888253409592,asharedsuffering/0.0025954198473282443,greatbigbookofeverything/0.0022222222222222222,missingthegoodstuff/0.0041566746602717825,hatefic/0.0030437188710570003,ghost/0.0028079132099553287,impossiblytackyclothes/0.0034338038916444107,yourdoorwasopen/0.0031630170316301704,gretzkyhastheball/0.0017949081290444477,transformationnameannouncement/0.0028193450444589027,marilynmaneuver/0.002831832704037177,fullyclothednudity/0.0015338403527832812,aboyagirlandababyfamily/0.0017844022252545397,parentswalkinattheworsttime/0.0036855036855036856,ludicrousmeleeaccuracy/0.002457002457002457,goodisnotnice/0.003189684424838819,,stringyhairedghostgirl/0.0028790786948176585,burningwithanger/0.0023312493377132563,spyfiction/0.0036893886156008433,cutlassbetweentheteeth/0.0019298034012784947,belligerentsexualtension/0.0032807839795483597
offscreeninertia/0.0012493944261709885,gothicpunk/0.0032175032175032173,bullyhunter/0.002611290723700572,hahahano/0.0005128407432245848,recursivecanon/0.0031728959397687552,themountainsofillinois/0.002731134938296581,conspicuoustrenchcoat/0.0036726128016789086,fantasticarousal/0.0033705253370525335,spectacularspinning/0.0015300433080054979,helpyourselfinthefuture/0.0024804426636138143,myhovercraftisfullofeels/0.001987268011721513,nobodysthatdumb/0.002682563338301043,agoodwaytodie/0.002085070892410342,dominomask/0.0029320736276266493,sciencefictionfanfic/0.003234434285003421,,hollywoodpsych/0.0017597888253409592,cryonicsfailure/0.0025954198473282443,speaksfluentanimal/0.0022222222222222222,repeatingad/0.0041566746602717825,caringgardener/0.0030437188710570003,toilethumour/0.0028079132099553287,goofysuit/0.0034338038916444107,ididntmeantoturnyouon/0.0030413625304136255,exiledtothecouch/0.0017949081290444477,mookmaker/0.0027109086965950986,blindingbangs/0.002831832704037177,staginganintervention/0.0015338403527832812,godsavethequeen/0.0017844022252545397,inlovewithlove/0.0036855036855036856,awesomepersonnelcarrier/0.002457002457002457,authorityequalsasskicking/0.0031218187987784186,,moecouplet/0.002759117082533589,heroismwontpaythebills/0.0023312493377132563,classycatburglar/0.0036893886156008433,bloodlust/0.0019298034012784947,disappeareddad/0.003238176395398381
manchurianagent/0.0012493944261709885,spreadwingsframeshot/0.0032175032175032173,teensaremonsters/0.002611290723700572,nobodyherebutusstatues/0.0005128407432245848,whowouldbestupidenough/0.0031728959397687552,drinkingonduty/0.002731134938296581,onlysomanycanadianactors/0.003497726477789437,onlymostlydead/0.0032543003254300326,moreteeththantheosmondfamily/0.0015300433080054979,monumentaldamage/0.0024804426636138143,welcomeepisode/0.001987268011721513,animalsuperheroes/0.002682563338301043,spaceamish/0.002085070892410342,thejailer/0.002769180648314058,beingevilsucks/0.003234434285003421,,wakingupatthemorgue/0.0017597888253409592,touchtelepathy/0.0025954198473282443,thememobile/0.0022222222222222222,publicserviceannouncement/0.003996802557953637,recoilboost/0.002767017155506364,anachronismstew/0.002765369070410551,keepitforeign/0.0034338038916444107,starderailingrole/0.0030413625304136255,chaosarchitecture/0.0017476737045959095,actionhoggingopening/0.0027109086965950986,miniatureseniorcitizens/0.002831832704037177,prankdate/0.0015338403527832812,laughingatyourownjokes/0.0017844022252545397,singleissuepsychology/0.0036855036855036856,pendulumwar/0.002457002457002457,aniceperson/0.0031218187987784186,,furoscene/0.002759117082533589,enlightenmentsuperpowers/0.0023312493377132563,regularcaller/0.0036893886156008433,gunfu/0.0019298034012784947,genresavvy/0.003238176395398381
crypticbackgroundreference/0.0012493944261709885,infernalparadise/0.0032175032175032173,wisebeyondtheiryears/0.0025698416645942137,suddenlyspeaking/0.0005128407432245848,fullyautomaticclipshow/0.003119118042484539,temporarysubstitute/0.0026299817924337445,hollywooddensity/0.003497726477789437,inconvenientsummons/0.0032543003254300326,tagalongkid/0.0015300433080054979,futureslang/0.0024804426636138143,neverheardthatonebefore/0.001987268011721513,expressiveaccessory/0.002682563338301043,genocidedilemma/0.002085070892410342,likesclarkkenthatessuperman/0.002769180648314058,actionmom/0.003110032966349443,,vehicularsabotage/0.0017597888253409592,childeater/0.0025954198473282443,visibleinvisibility/0.0022222222222222222,acidrefluxnightmare/0.003996802557953637,goodprincessevilqueen/0.002767017155506364,itsallaboutme/0.002765369070410551,firstlove/0.0033066259697316545,bromanticfoil/0.0030413625304136255,ruritania/0.0017476737045959095,kidhero/0.0027109086965950986,relaxovision/0.002831832704037177,angryblackman/0.0015338403527832812,sadisticgameshow/0.0017844022252545397,cleaningupromanticlooseends/0.0036855036855036856,rocketpoweredweapon/0.002457002457002457,savethevillain/0.0031218187987784186,,animefirst/0.002759117082533589,leotardofpower/0.0023312493377132563,samaritansyndrome/0.0036893886156008433,punchparry/0.0019298034012784947,welldonesonguy/0.0031955688112484024
fingergun/0.0012493944261709885,monstersanonymous/0.0032175032175032173,seriesgoal/0.0025698416645942137,fictionalholiday/0.0005128407432245848,funnyforeigner/0.003119118042484539,metacasting/0.0026299817924337445,ateamfiring/0.003410283315844701,pointyears/0.0032543003254300326,comingofagestory/0.0015300433080054979,eternalenglish/0.0024804426636138143,huntingthemostdangerousgame/0.001953585503048267,readingforeignsignsoutloud/0.002533532041728763,nuclearoption/0.002085070892410342,interpretativecharacter/0.002769180648314058,invisibility/0.003110032966349443,,armsdealer/0.0017597888253409592,backtotheearlyinstallment/0.0025954198473282443,storybreakerteamup/0.002168021680216802,disqualificationinducedvictory/0.003996802557953637,thoughtcontrolledpower/0.002767017155506364,nicehat/0.002765369070410551,thefashionista/0.0033066259697316545,flowersofromance/0.0030413625304136255,funnyansweringmachine/0.0017476737045959095,standardizedleader/0.0027109086965950986,slidingscaleofbeauty/0.002759221609061865,thecatchphrasecatcheson/0.0015338403527832812,newhartphonecall/0.0017844022252545397,gayngster/0.0036855036855036856,nongovernmentalorganization/0.002457002457002457,innameonly/0.003053953172718018,,lovebubbles/0.002759117082533589,extraoredinary/0.0023312493377132563,fakinmacguffin/0.0035137034434293743,liplock/0.0019298034012784947,wronggenresavvy/0.0031955688112484024
revengebyproxy/0.0012493944261709885,druid/0.0032175032175032173,evilredhead/0.0025698416645942137,ridingintothesunset/0.0005128407432245848,thelastoftheseisnotliketheothers/0.003119118042484539,therapyisfortheweak/0.0026299817924337445,tropemakers/0.003410283315844701,unseenevil/0.0032543003254300326,itonlyworksonce/0.0015300433080054979,theevilsoffreewill/0.0024804426636138143,controlfreak/0.001953585503048267,unfinishedepisode/0.002533532041728763,telepathicspacemen/0.002085070892410342,allianceofalternates/0.002769180648314058,continuitydrift/0.003110032966349443,,rightwingmilitiafanatic/0.0017597888253409592,lampreymouth/0.0025954198473282443,twobeingsonebody/0.002168021680216802,themaninthemirrortalksback/0.003996802557953637,siblingmurder/0.002767017155506364,recycledinspace/0.0027228249308657733,hugeschoolgirl/0.0033066259697316545,deepimmersiongaming/0.0030413625304136255,splitscreenphonecall/0.0017476737045959095,samurai/0.0027109086965950986,dependingontheartist/0.002759221609061865,everythingisracist/0.0015338403527832812,silenttreatment/0.0017844022252545397,technicalvirgin/0.00351000351000351,themeandvariationssoundtrack/0.002457002457002457,teethclenchedteamwork/0.003053953172718018,,sleepmodesize/0.002759117082533589,fightingashadow/0.0023312493377132563,landminegoesclick/0.0035137034434293743,ultimateblacksmith/0.0019298034012784947,loveinterests/0.0031529612270984235
livingliedetector/0.0012493944261709885,frozenfashionsense/0.0032175032175032173,troubledbutcute/0.0025283926054878556,canislatinicus/0.0005128407432245848,rightbehindme/0.003119118042484539,facialdialogue/0.0026299817924337445,spinoffspring/0.0030605106680657575,revision/0.0032543003254300326,evilmentor/0.0015041103705816757,unrealisticblackhole/0.0024804426636138143,theywastedaperfectlygoodsandwich/0.001953585503048267,phonymon/0.002533532041728763,plasmacannon/0.002085070892410342,capesnag/0.002769180648314058,villainexitstageleft/0.003110032966349443,,theprofiler/0.0017597888253409592,idonotdrinkwine/0.0025954198473282443,mylittlepanzer/0.002113821138211382,diggingtochina/0.003996802557953637,invisiblemeansundodgeable/0.002767017155506364,doublestandardabusefemaleonmale/0.0027228249308657733,hairflip/0.0031794480478188987,bathtubbonding/0.0030413625304136255,mallsanta/0.0017476737045959095,climacticbattleresurrection/0.0027109086965950986,inexplicablyawesome/0.002759221609061865,strawvegetarian/0.0015338403527832812,eventheratswonttouchit/0.0017844022252545397,butnottoobi/0.00351000351000351,graspthesun/0.002457002457002457,battlecouple/0.0029860875466576177,,prettyfreeloaders/0.002759117082533589,behemothbattle/0.0023312493377132563,notsowellintentionedextremist/0.0035137034434293743,spiritedcompetitor/0.0019298034012784947,mindscrew/0.003067746058798466
plottriggeringdeath/0.0012493944261709885,familialfoe/0.0032175032175032173,onlyonename/0.0025283926054878556,uncertainaudience/0.0005128407432245848,addedalliterativeappeal/0.003119118042484539,holdingthefloor/0.0026299817924337445,tonightsomeonedies/0.0030605106680657575,twopersonlovetriangle/0.0032543003254300326,weaponofchoice/0.0015041103705816757,criticalbacklash/0.0024804426636138143,dowrongright/0.001953585503048267,centrifugalfarce/0.002533532041728763,courtmartialed/0.002085070892410342,environmentspecificactionfigure/0.002769180648314058,comicbookfantasycasting/0.0030478323070224547,,semperfi/0.0017597888253409592,givingradiototheromans/0.0025954198473282443,neversmileatacrocodile/0.002113821138211382,smartjerkandnicemoron/0.003996802557953637,drawaggro/0.002767017155506364,whydidithavetobesnakes/0.0027228249308657733,quirkyhousehold/0.0031794480478188987,accidentalproposal/0.0030413625304136255,blowingaraspberry/0.0017476737045959095,finalbosspreview/0.0027109086965950986,defeatbymodesty/0.002759221609061865,youmakemesic/0.0015338403527832812,animatedshockcomedy/0.0017844022252545397,ofcorsethurts/0.00351000351000351,arbitrarymaximumrange/0.002457002457002457,darkesthour/0.0029860875466576177,,shorttank/0.002759117082533589,mergedreality/0.0023312493377132563,beneathnotice/0.0035137034434293743,heroicrematch/0.0019298034012784947,meaningfulecho/0.003067746058798466
thelastdance/0.0012493944261709885,magiccompass/0.0032175032175032173,seenitall/0.0025283926054878556,hotskittyonwailordaction/0.0005128407432245848,damnedbyfaintpraise/0.003119118042484539,spoiledbythecastlist/0.0026299817924337445,allbikersarehellsangels/0.0030605106680657575,littlebitbeastly/0.0032543003254300326,supersenses/0.0015041103705816757,superpoweredrobotmetermaids/0.0024804426636138143,givennamereveal/0.001953585503048267,youdirtyrat/0.002533532041728763,teenagewasteland/0.002085070892410342,magnetismmanipulation/0.002606287669001466,killandreplace/0.0030478323070224547,,vehiclevanish/0.0017597888253409592,transferablememory/0.0024427480916030535,clonedegeneration/0.002113821138211382,pullarabbitoutofmyhat/0.003996802557953637,quieterthansilence/0.0024903154399557276,everyonehasstandards/0.0027228249308657733,passionatesportsgirl/0.0031794480478188987,bifauxnen/0.0030413625304136255,chewoutfakeout/0.0017476737045959095,makemymonstergrow/0.0027109086965950986,deliberatelycutechild/0.002759221609061865,disabilityasanexcuseforjerkassery/0.0015338403527832812,onewordvocabulary/0.0017844022252545397,sexforservices/0.0033345033345033347,spaceelevator/0.002457002457002457,improvisedweapon/0.0029860875466576177,,yearstooearly/0.00263915547024952,thresholdguardians/0.0023312493377132563,girlfriday/0.0035137034434293743,coatcape/0.0019298034012784947,dysfunctionjunction/0.0030251384746484873
damseloutofdistress/0.0012493944261709885,witchspecies/0.0032175032175032173,spotoftea/0.0025283926054878556,justtryingtohelp/0.0004996909805778006,genderinvertedtrope/0.003119118042484539,multitaskedconversation/0.0026299817924337445,camp/0.002973067506121021,walkingwasteland/0.0032543003254300326,downerbeginning/0.0015041103705816757,computervoice/0.0024804426636138143,youjusttoldme/0.001953585503048267,instanttasteaddiction/0.002533532041728763,ambadassador/0.002085070892410342,mysuitisalsosuper/0.002606287669001466,affirmativeactiongirl/0.0030478323070224547,,authortract/0.0017597888253409592,revivalloophole/0.0024427480916030535,popularwithfurries/0.002113821138211382,iambigboned/0.003996802557953637,aprotagonistshallleadthem/0.0024903154399557276,memeticmutation/0.0027228249308657733,gibberishoflove/0.0031794480478188987,eloquentinmynativetongue/0.0030413625304136255,thisismyside/0.0017476737045959095,technopath/0.0027109086965950986,fakebrit/0.002759221609061865,publicexposure/0.0014699303380839778,odetofood/0.0017844022252545397,bettyandveronicaswitch/0.0033345033345033347,lastplanstanding/0.002457002457002457,halfhumanhybrid/0.0029860875466576177,,lightningglare/0.00263915547024952,villainsloveentertainment/0.0023312493377132563,technowizard/0.0033380182712579058,mana/0.0019298034012784947,reasonableauthorityfigure/0.0030251384746484873
pocketprotector/0.0012493944261709885,sapientfurtrade/0.0032175032175032173,gracefulloser/0.0025283926054878556,flashbackwiththeotherdarrin/0.0004996909805778006,pottyfailure/0.003119118042484539,convenientreplacementcharacter/0.0026299817924337445,institutionalapparel/0.0028856243441762854,allpowerfulbystander/0.0032543003254300326,wehavereserves/0.0014781774331578538,unfinisheduntestedusedanyway/0.0024804426636138143,laymansterms/0.0019199029943750211,toothstrip/0.002533532041728763,altardiplomacy/0.002085070892410342,villainrevealsthesecret/0.002606287669001466,singletear/0.0030478323070224547,,falseconfession/0.0016864642909517524,shapeshiftingseducer/0.0024427480916030535,thehyena/0.002113821138211382,bigolunibrow/0.003996802557953637,skeletongovernment/0.0024903154399557276,thechewtoy/0.0026802807913209954,childisholdersibling/0.0031794480478188987,batmaninmybasement/0.0030413625304136255,elevatorfailure/0.0017476737045959095,energyball/0.0027109086965950986,leanandmean/0.002759221609061865,smitemeomightysmiter/0.0014699303380839778,sodacanshakeup/0.0017844022252545397,themistress/0.0033345033345033347,stealthycolossus/0.00214987714987715,theplan/0.0029860875466576177,,marrythemall/0.00263915547024952,wizardslivelonger/0.0022252834587262902,feedthemole/0.0033380182712579058,weapontombstone/0.0018091906886985888,policeareuseless/0.002982530890498509
intheblood/0.0012493944261709885,damselfightandflightresponse/0.002574002574002574,mysisterisofflimits/0.002486943546381497,happyplace/0.0004996909805778006,moralguardians/0.003065340145200323,darkfic/0.0026299817924337445,absentmindedprofessor/0.0028856243441762854,screwtherulesihavesupernaturalpowers/0.0032543003254300326,takemyhand/0.0014781774331578538,dystopia/0.0024804426636138143,nothelpingyourcase/0.0019199029943750211,humanoidfemaleanimal/0.002384500745156483,nicknamingtheenemy/0.002085070892410342,recastasaregular/0.002606287669001466,summonbiggerfish/0.0030478323070224547,,ifjesusthenaliens/0.0016864642909517524,merlinsickness/0.0024427480916030535,thecaligula/0.002113821138211382,ridiculouslysuccessfulfutureself/0.003996802557953637,sketchysuccessor/0.0024903154399557276,lethalchef/0.0026802807913209954,guiltypleasures/0.003052270125906143,plotbasedvoicecancellation/0.0030413625304136255,stagemom/0.0017476737045959095,goldfishpoopgang/0.0027109086965950986,madlove/0.002759221609061865,comicroleplay/0.0014699303380839778,fakeinteractivity/0.0017844022252545397,faceofathug/0.003159003159003159,landofonecity/0.00214987714987715,heelfacerevolvingdoor/0.0029860875466576177,,harshwordimpact/0.00263915547024952,powerstrainblackout/0.0022252834587262902,disconnectedbydeath/0.0033380182712579058,chainedbyfashion/0.0018091906886985888,aerithandbob/0.00293992330634853
wasitallalie/0.0012238965807389276,chillofundeath/0.002574002574002574,ijustwanttobespecial/0.0024040454281687804,ifidonotreturn/0.0004996909805778006,lostfoodgrievance/0.003065340145200323,ethicalslut/0.0026299817924337445,cloningblues/0.0027981811822315496,orificeinvasion/0.0032543003254300326,thecavalry/0.0014781774331578538,mechanicallifeforms/0.0023850410227055905,batterup/0.0019199029943750211,animatedouttakes/0.002384500745156483,generationships/0.002085070892410342,roguesgalleryshowcase/0.002606287669001466,laserhallway/0.0030478323070224547,,standardcopbackstory/0.0016864642909517524,killingyouralternateself/0.0024427480916030535,convectionschmonvection/0.002113821138211382,driveintheater/0.003996802557953637,thewrongfulheirtothethrone/0.0024903154399557276,hairtriggertemper/0.0026802807913209954,obsessedwithfood/0.003052270125906143,chastitycouple/0.0030413625304136255,astonishinglyappropriateinterruption/0.0017476737045959095,powerupfullcolorchange/0.0027109086965950986,luckycharmstitle/0.002759221609061865,contemplatingyourhands/0.0014699303380839778,uninvitedtotheparty/0.0017844022252545397,smallreferencepools/0.003159003159003159,gloriousleader/0.00214987714987715,alternativeforeignthemesong/0.0029860875466576177,,lightnovels/0.00263915547024952,psychosomaticsuperpoweroutage/0.0022252834587262902,dieselpunk/0.0033380182712579058,smokeshield/0.0018091906886985888,chekhovsskill/0.00293992330634853
burnthewitch/0.0012238965807389276,vampireprocreationlimit/0.002574002574002574,theglassescomeoff/0.0024040454281687804,baitandswitchcomparison/0.0004996909805778006,everyepisodeending/0.0030115622479161067,absencemakestheheartgoyonder/0.0026299817924337445,adventurerarchaeologist/0.0027107380202868138,hornedhumanoid/0.0032543003254300326,trueneutral/0.0014781774331578538,spacepolice/0.0023850410227055905,youhavetobelieveme/0.0019199029943750211,disembodiedeyebrows/0.002384500745156483,spacestories/0.002085070892410342,hoistherooverhead/0.002606287669001466,howdidyouknowididnt/0.0029856316476954657,,insurancefraud/0.0016864642909517524,livingmemory/0.0024427480916030535,asskicksyou/0.002113821138211382,satire/0.003996802557953637,cultofpersonality/0.0024903154399557276,captainobvious/0.0026802807913209954,weddingfinale/0.003052270125906143,ifwegetthroughthis/0.0030413625304136255,cuetheflyingpigs/0.0017004392801473714,spintodeflectstuff/0.002602472348731295,lostlenore/0.0026866105140865523,criticalpsychoanalysisfailure/0.0014699303380839778,pushoverparents/0.0017844022252545397,imamanicanthelpit/0.003159003159003159,fullpotentialupgrade/0.00214987714987715,geniusbruiser/0.0029860875466576177,,weddingsinjapan/0.00263915547024952,demonworks/0.0022252834587262902,cameraspoofing/0.0033380182712579058,cosmichorrorreveal/0.0018091906886985888,letsgetdangerous/0.0028973157221985515
