Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
glamorouswartimesinger/0.0008392121895570533,tearsofremorse/0.0008448884250285771,robotmaid/0.000395882818685669,fatcomicrelief/0.0005471984471953498,askastupidquestion/0.0008621445480316802,magicaldefibrillator/0.0004675784446337024,ejectionseat/0.0007658280658840742,reusedcharacterdesign/0.0009596928982725527,stockshoujoheroine/0.0007644772886538829,mustnotdieavirgin/0.0009703283795516062,devilbutnogod/0.0006828223323068684,thosetwoactors/0.0009139668566755658,excrementstatement/0.0007182539100863371,judgejuryandexecutioner/0.0008348572791603721,badguybar/0.0010565884384842019,,,namingconventions/0.0002821272393849626,animalreligion/0.0003390836264993854,
theirishmob/0.0008392121895570533,suggestivecollision/0.0008324635952487451,nauseafuel/0.0003882696875570985,awkwardfathersonbondingactivity/0.000536873948191664,openingshoutout/0.0008621445480316802,laymansterms/0.0004675784446337024,youarealreadydead/0.0007658280658840742,mesacrowd/0.0009596928982725527,summer2012anime/0.0007644772886538829,majorlyawesome/0.0009447934221949849,trappedinthepast/0.0006828223323068684,paedohunt/0.0009019409769824662,scottishseries/0.0007182539100863371,sharkman/0.0008348572791603721,archnemesisdad/0.0010565884384842019,,,commons/0.0002821272393849626,alldogsarepurebred/0.0003390836264993854,
deadlynosebleed/0.0008392121895570533,girlinabox/0.0008324635952487451,talkingtohimself/0.0003882696875570985,andadietcoke/0.000536873948191664,fluffytheterrible/0.0008621445480316802,documentaryepisode/0.0004675784446337024,teleporteraccident/0.0007658280658840742,schooluniformsarethenewblack/0.0009596928982725527,magicalgirlqueenlinesstest/0.0007644772886538829,originstory/0.0009447934221949849,postmodernmagik/0.0006828223323068684,badpeopleabuseanimals/0.0009019409769824662,acceptabletargets/0.0007182539100863371,phlebotinumkilledthedinosaurs/0.0008348572791603721,negatedmomentofawesome/0.0010565884384842019,,,shoutoutsindex/0.0002821272393849626,hiphop/0.0003390836264993854,
goodgirlgonebad/0.0008392121895570533,sexysantadress/0.0008324635952487451,impliedloveinterest/0.0003882696875570985,bowlingforratings/0.000536873948191664,notnowkiddo/0.0008621445480316802,horrifyingthehorror/0.0004675784446337024,ourmonstersareweird/0.0007658280658840742,tasteslikediabetes/0.0009473891431664944,fall2011anime/0.0007326240682933045,depopulationbomb/0.0009447934221949849,baseonwheels/0.0006828223323068684,decapitationpresentation/0.0009019409769824662,mascot/0.0007182539100863371,advertisingonlycontinuity/0.0008348572791603721,youcantgohomeagain/0.0010565884384842019,,,filmsof19901994/0.0002821272393849626,elephantinefiction/0.0003390836264993854,
singlemomstripper/0.0008392121895570533,thirdoptionloveinterest/0.0008324635952487451,suspiciouslysimilarsong/0.0003806565564285279,brownbagmask/0.000536873948191664,cardboardprison/0.0008621445480316802,exploitedtrope/0.0004675784446337024,lockedintostrangeness/0.0007658280658840742,madeofplasticine/0.0009473891431664944,emptyeyes/0.0007326240682933045,tokenenemyminority/0.0009447934221949849,mundanger/0.0006828223323068684,redalert/0.0009019409769824662,crosswordpuzzle/0.0007182539100863371,marveluniverse/0.0008149797248946489,badguysdothedirtywork/0.0010464289342680076,,,pointofview/0.0002821272393849626,mummymedia/0.0003390836264993854,
medicationtampering/0.0008392121895570533,brokentears/0.0008324635952487451,thegreatdepression/0.0003806565564285279,delusionsofeloquence/0.000536873948191664,thegrimreaper/0.0008548382383025982,neutralevil/0.0004675784446337024,uniquenessdecay/0.0007658280658840742,bunglinginventor/0.0009473891431664944,obliviousyoungersibling/0.0007326240682933045,penalcolony/0.0009447934221949849,skysurfing/0.0006828223323068684,spoiledbytheformat/0.0009019409769824662,nerdsarevirgins/0.0007035956670233506,malfunctionmalady/0.0008149797248946489,justintime/0.0010464289342680076,,,madeogold/0.0002821272393849626,proudpeacock/0.0003390836264993854,
forensicaccounting/0.0008129868086333954,pronountrouble/0.0008324635952487451,screwyourself/0.00037304342529995735,gotosleepending/0.000536873948191664,fiction500/0.0008548382383025982,reformedbutrejected/0.0004675784446337024,sicklygreenglow/0.0007658280658840742,pastelchalkedfreezeframe/0.000935085388060436,sillymegesture/0.0007326240682933045,thesquad/0.0009447934221949849,doppelgangerreplacementloveinterest/0.0006828223323068684,languagebarrier/0.0008899150972893667,missingepisode/0.0007035956670233506,adaptationalcomicrelief/0.0007951021706289258,kickthemwhiletheyaredown/0.0010464289342680076,,,sharedlifemeter/0.0002821272393849626,hungarianmedia/0.0003390836264993854,
writingindentationclue/0.0008129868086333954,staticcharacter/0.0008324635952487451,recursiveimport/0.00035020403191424567,iwillshowyoux/0.000536873948191664,jekyllandhyde/0.0008548382383025982,entitledbastard/0.0004675784446337024,worldwariii/0.0007658280658840742,meganeko/0.000935085388060436,xmarksthehero/0.0007326240682933045,dayofthejackboot/0.0009447934221949849,powerupfullcolorchange/0.0006828223323068684,buticantbepregnant/0.0008899150972893667,thetag/0.0007035956670233506,spandexlatexorleather/0.0007951021706289258,evilformerfriend/0.0010464289342680076,,,greenhillzone/0.0002821272393849626,nightfall/0.0003390836264993854,
gasolinedousing/0.0008129868086333954,visualinnuendo/0.0008324635952487451,fetish/0.00035020403191424567,diggingtochina/0.000536873948191664,worthlesstreasuretwist/0.0008548382383025982,characterfocus/0.0004675784446337024,nowaterproofinginthefuture/0.0007658280658840742,marsneedswomen/0.000935085388060436,spring2015anime/0.0007326240682933045,transhuman/0.0009447934221949849,whipsword/0.0006828223323068684,officeromance/0.0008899150972893667,brotherhoodoffunnyhats/0.0007035956670233506,goodwearswhite/0.0007951021706289258,thatmanisdead/0.0010464289342680076,,,tvtropeswillruinyourlife/0.0002821272393849626,skeletonmotif/0.0003390836264993854,
rapebyproxy/0.0008129868086333954,absurdlyyouthfulmother/0.0008324635952487451,showdonttell/0.00034259090078567515,stalkingisfunnyifitisfemaleaftermale/0.000536873948191664,sickeninglysweethearts/0.0008548382383025982,zeropercentapprovalrating/0.0004620120345785393,robotnames/0.0007658280658840742,unmovingplaid/0.000935085388060436,bakenekoandnekomata/0.000700770847932726,dieselpunk/0.0009447934221949849,spotlightstealingcrossover/0.0006694336591243808,closestthingwegot/0.0008899150972893667,londonenglandsyndrome/0.0007035956670233506,adorableevilminions/0.0007951021706289258,evilcripple/0.0010362694300518134,,,tournamentplay/0.0002821272393849626,mysteriousmist/0.00029669817318696225,
disconnectedbydeath/0.0008129868086333954,enforcedmethodacting/0.0008200387654689131,canadadoesnotexist/0.0002892989828856812,thebore/0.000536873948191664,thefifties/0.0008548382383025982,conspicuoustrenchcoat/0.0004620120345785393,scaledup/0.0007658280658840742,universaladaptorcast/0.000935085388060436,shinigami/0.000700770847932726,vasquezalwaysdies/0.0009447934221949849,clippedwingangel/0.0006694336591243808,hallucinations/0.0008778892175962671,deathascomedy/0.0007035956670233506,transformers/0.0007951021706289258,bondvillainstupidity/0.0010362694300518134,,,menarebetterthanwomen/0.0002821272393849626,filmsofthe1960s/0.00029669817318696225,
themodestorgasm/0.0008129868086333954,bastardboyfriend/0.0008200387654689131,unrequitedlove/0.0002892989828856812,constantlycurious/0.000536873948191664,everyonewenttoschooltogether/0.0008548382383025982,beingevilsucks/0.0004620120345785393,spacepolice/0.0007658280658840742,ridingintothesunset/0.000935085388060436,mascotmook/0.000700770847932726,bombdisposal/0.0009192584648383637,boymeetsghoul/0.0006694336591243808,heroeslovedogs/0.0008778892175962671,truckdriversgearchange/0.0007035956670233506,giantsquid/0.0007951021706289258,theguardsmustbecrazy/0.0010362694300518134,,,looselybasedonatruestory/0.0002821272393849626,religiousprogrammes/0.00029669817318696225,
bodyinabreadbox/0.0008129868086333954,lostlenore/0.0008200387654689131,takesathirdoption/0.0002892989828856812,naturetinkling/0.000536873948191664,epunymoustitle/0.0008548382383025982,hunk/0.0004620120345785393,evilutionarybiologist/0.0007658280658840742,wantedposter/0.0009227816329543777,monstrosityequalsweakness/0.000700770847932726,slaveryisaspecialkindofevil/0.0009192584648383637,fightingyourfriend/0.0006694336591243808,theophelia/0.0008778892175962671,themoralsubstitute/0.0007035956670233506,musicsoothesthesavagebeast/0.0007951021706289258,strappedtoanoperatingtable/0.0010261099258356192,,,hollywoodcuisine/0.0002821272393849626,morepredatorsthanprey/0.00029669817318696225,
pulltheiv/0.0008129868086333954,heartwarminginhindsight/0.0008200387654689131,funnyaneurysmmoment/0.0002892989828856812,bigolunibrow/0.000536873948191664,crosscastrole/0.0008548382383025982,feelnopain/0.0004620120345785393,enemywithout/0.0007543977962440134,onelettername/0.0009227816329543777,animeofthe1960s/0.000700770847932726,ominousvisualglitch/0.0009192584648383637,expendablealternateuniverse/0.0006694336591243808,anchoredship/0.0008658633379031676,twerpsweating/0.0007035956670233506,tailslap/0.0007951021706289258,desperatelylookingforapurposeinlife/0.001015950421619425,,,studiopolis/0.0002821272393849626,springislate/0.00029669817318696225,
suicidepact/0.0008129868086333954,selfinsertfic/0.0008200387654689131,theprotagonist/0.0002740727206285401,sciencefair/0.000536873948191664,frenchjerk/0.000847531928573516,charactershields/0.0004620120345785393,tokenheroicorc/0.0007543977962440134,bigoleyebrows/0.0009227816329543777,flexibletourneyrules/0.000700770847932726,armchairmilitary/0.0009192584648383637,horseofadifferentcolor/0.0006694336591243808,recoveredaddict/0.0008658633379031676,happyendingmassage/0.0007035956670233506,evilminions/0.0007951021706289258,fannickname/0.001015950421619425,,,godmode/0.0002821272393849626,wiseoldturtle/0.00029669817318696225,
hadtocometoprisontobeacrook/0.0008129868086333954,childhoodmarriagepromise/0.0008200387654689131,sinceritymode/0.00026645958949996954,quirkyhousehold/0.000536873948191664,lawfulstupid/0.000847531928573516,trueneutral/0.0004620120345785393,ragnarokproofing/0.0007543977962440134,thenoseless/0.0009227816329543777,localizednameinanonlocalizedsetting/0.000700770847932726,shootthehostagetaker/0.0009192584648383637,infinityplusonesword/0.0006694336591243808,rapeandrevenge/0.0008658633379031676,innocentbigot/0.0007035956670233506,stockfootagefailure/0.0007951021706289258,wasitallalie/0.001015950421619425,,,usefulnotes/0.0002821272393849626,primitiveclubs/0.00029669817318696225,
thelabrat/0.0008129868086333954,beautifuldreamer/0.0008200387654689131,olderthantheythink/0.00025884645837139896,mobileshrubbery/0.000536873948191664,thislookslikeajobforaquaman/0.000847531928573516,fakeoutopening/0.0004620120345785393,lovecraftlite/0.0007543977962440134,mundaneobjectamazement/0.0009227816329543777,shapingyourattacks/0.000700770847932726,thesquadette/0.0008937235074817425,ultimatelifeform/0.0006694336591243808,andthatlittlegirlwasme/0.0008658633379031676,replacementflatcharacter/0.0007035956670233506,blueisheroic/0.0007951021706289258,wigdressaccent/0.001015950421619425,,,powerballad/0.0002821272393849626,allflyersarebirds/0.00029669817318696225,
notiftheyenjoyeditrationalization/0.0007867614277097375,aminorkidroduction/0.0008200387654689131,designstudentsorgasm/0.00025884645837139896,offscreencrash/0.000536873948191664,girlslovestuffedanimals/0.000840225618844434,writerrevolt/0.0004620120345785393,tronlines/0.0007543977962440134,artshiftedsequel/0.0009227816329543777,easternzodiac/0.000700770847932726,thelegendofx/0.0008937235074817425,oni/0.0006694336591243808,unkemptbeauty/0.0008658633379031676,parentingthehusband/0.0007035956670233506,hypnotrinket/0.0007951021706289258,villainousbsod/0.001015950421619425,,,rewardingvandalism/0.0002821272393849626,xenophobicherbivore/0.00029669817318696225,
subcultureoftheweek/0.0007867614277097375,captainobviousreveal/0.000807613935689081,breakawaypophit/0.00024362019611425786,brokentreasure/0.000536873948191664,unintentionalperiodpiece/0.000840225618844434,cultureclash/0.0004620120345785393,shefu/0.0007543977962440134,doanythingrobot/0.0009104778778483193,olympusmons/0.000700770847932726,improperlyplacedfirearms/0.0008937235074817425,fallenangel/0.0006694336591243808,openmouthinsertfoot/0.0008658633379031676,cheekcopy/0.0006889374239603641,evilduo/0.0007951021706289258,bigbadwannabe/0.001015950421619425,,,temporaryonlinecontent/0.0002821272393849626,virtuousbees/0.00029669817318696225,
rapeportrayedasredemption/0.0007867614277097375,amnesiaclover/0.000807613935689081,battleofthebands/0.00022839393385711677,treasurehuntepisode/0.000536873948191664,cookingduel/0.000840225618844434,glassespull/0.00045644562452337614,religiousandmythologicalthemenaming/0.0007543977962440134,rpgepisode/0.0009104778778483193,flashyprotagonistsblandextras/0.000700770847932726,highaltitudeinterrogation/0.0008681885501251213,powertattoo/0.0006694336591243808,artistictitle/0.0008538374582100681,sitcom/0.0006889374239603641,trickarrow/0.0007752246163632027,bullettime/0.001015950421619425,,,bladeofgrasscut/0.0002821272393849626,medievalprehistory/0.00029669817318696225,
fingerprintingair/0.0007867614277097375,obligatoryswearing/0.000807613935689081,halloweenspecial/0.00021316767159997564,kickmeprank/0.000536873948191664,stunnedsilence/0.000840225618844434,greasyspoon/0.00045644562452337614,villainworld/0.0007543977962440134,highpressureemotion/0.0009104778778483193,magicalgirlgenredeconstruction/0.000700770847932726,cavalrybetrayal/0.0008681885501251213,closeenoughtimeline/0.0006560449859418932,whosyourdaddy/0.0008538374582100681,coughsnarkcough/0.0006889374239603641,thecommissionergordon/0.0007752246163632027,leparkour/0.0010057909174032308,,,firstandforemost/0.0002821272393849626,thetreeshavefaces/0.0002543127198745391,
oldfashionedcopper/0.0007867614277097375,escapistcharacter/0.000807613935689081,dayoftheweekname/0.00021316767159997564,obsessedwithfood/0.000536873948191664,raisedbygrandparents/0.000840225618844434,neutralgood/0.00045644562452337614,takeupmysword/0.0007543977962440134,familytitle/0.0009104778778483193,lovechart/0.000700770847932726,femalefightermalehandler/0.0008681885501251213,kineticweaponsarejustbetter/0.0006560449859418932,threatbackfire/0.0008538374582100681,tasteslikepurple/0.0006889374239603641,ninetiesantihero/0.0007752246163632027,whowantstoliveforever/0.0010057909174032308,,,randomnumbergod/0.0002821272393849626,instantthunder/0.0002543127198745391,
disabilityalibi/0.0007867614277097375,househusband/0.000807613935689081,designatedvillain/0.0001979414093428345,everyonehatesmimes/0.000536873948191664,mynaymeis/0.000832919309115352,antagonistinmourning/0.000450879214468213,flyingsaucer/0.0007543977962440134,waxonwaxoff/0.0009104778778483193,airplaneoflove/0.000700770847932726,stillwearingtheoldcolors/0.0008681885501251213,drunkonthedarkside/0.0006560449859418932,iwarnedyou/0.0008538374582100681,classicallytrainedextra/0.0006889374239603641,unhandthemvillain/0.0007752246163632027,nervesofsteel/0.0010057909174032308,,,melismaticvocals/0.0002821272393849626,tougharmoreddinosaur/0.0002543127198745391,
mandatorymotherhood/0.0007867614277097375,ocstandin/0.000807613935689081,theychangeditnowitsucks/0.0001979414093428345,doubledoubletitle/0.000536873948191664,deepsouth/0.000832919309115352,seeyouinhell/0.000450879214468213,villainesseswantheroes/0.0007543977962440134,technicoloreyes/0.000898174122742261,summer2016anime/0.000700770847932726,deskjockey/0.0008681885501251213,victorybyendurance/0.0006560449859418932,doublevision/0.0008538374582100681,orareyoujusthappytoseeme/0.0006889374239603641,fanfare/0.0007752246163632027,goodfeelsgood/0.0010057909174032308,,,thefilmoftheplay/0.0002821272393849626,mushroomhouse/0.0002543127198745391,
socialclimber/0.0007867614277097375,twiceshy/0.000795189105909249,stophavingfunguys/0.00019032827821426396,unacceptabletargets/0.000536873948191664,singletear/0.000832919309115352,haveyoutoldanyoneelse/0.000450879214468213,crystaldragonjesus/0.0007429675266039526,everythingsdeaderwithzombies/0.000898174122742261,motherlysideplait/0.000700770847932726,theimmune/0.0008681885501251213,originalgeneration/0.0006560449859418932,blueblood/0.0008538374582100681,feigningintelligence/0.0006889374239603641,thebait/0.0007752246163632027,halfthemanheusedtobe/0.0010057909174032308,,,hitlesshitalbum/0.0002821272393849626,thechristmasannual/0.0002543127198745391,
suspectexistencefailure/0.0007867614277097375,throwthebookatthem/0.000795189105909249,memeticbadass/0.00019032827821426396,mysterymeat/0.0005265494491879781,bigbrotherworship/0.000832919309115352,animalwrongsgroup/0.000450879214468213,diabolusexnihilo/0.0007429675266039526,airplanearms/0.000898174122742261,lensflarecensor/0.000700770847932726,killmenoworforeverstayyourhand/0.0008681885501251213,beastandbeauty/0.0006560449859418932,ethicalslut/0.0008538374582100681,oopsiforgotiwasmarried/0.0006889374239603641,thesomethingforce/0.0007553470620974796,theherodies/0.0009956314131870365,,,goodbadbugs/0.0002821272393849626,unreliableillustrator/0.0002543127198745391,
crimeofselfdefense/0.0007867614277097375,angeldevilshipping/0.000795189105909249,loyalanimalcompanion/0.00019032827821426396,attackattackretreatretreat/0.0005265494491879781,gotvolunteered/0.000832919309115352,bewarethequietones/0.000450879214468213,thewormthatwalks/0.0007429675266039526,manzai/0.000898174122742261,naginatasarefeminine/0.000700770847932726,frontlinegeneral/0.0008681885501251213,cherrytapping/0.0006560449859418932,superdickery/0.0008418115785169685,menareuncultured/0.0006889374239603641,evilwillfail/0.0007553470620974796,antagonisttitle/0.0009956314131870365,,,endlessgame/0.0002821272393849626,sabrinatheteenagewitch/0.0002543127198745391,
hollywoodcostuming/0.0007867614277097375,relationshipsabotage/0.000795189105909249,narmcharm/0.0001827151470856934,walkonthewildsideepisode/0.0005265494491879781,titleplease/0.000832919309115352,pyromaniac/0.000450879214468213,monsterisamommy/0.0007429675266039526,finishingeachotherssentences/0.000898174122742261,randompowerranking/0.0006689176275721476,wrenchwhack/0.0008681885501251213,armedlegs/0.0006560449859418932,everyoneknowsmorse/0.0008418115785169685,hollywoodcalifornia/0.0006889374239603641,cheapcostume/0.0007553470620974796,fakeultimatehero/0.0009854719089708423,,,appealtonovelty/0.0002821272393849626,magichat/0.0002543127198745391,
outrankingyourjob/0.0007605360467860796,attentiondeficitcreatordisorder/0.000795189105909249,fourthwall/0.00017510201595712284,notinfrontoftheparrot/0.0005265494491879781,creatorthumbprint/0.000832919309115352,notworthkilling/0.000450879214468213,holdingbackthephlebotinum/0.0007429675266039526,talkingtothemself/0.0008858703676362026,taintedbytheending/0.0006689176275721476,fordoomthebelltolls/0.0008681885501251213,fixfic/0.0006560449859418932,casualkink/0.0008418115785169685,irrevocablemessage/0.0006742791808973777,teenagemutantsamuraiwombats/0.0007553470620974796,scenerygorn/0.0009854719089708423,,,trueart/0.0002821272393849626,dreamsvsnightmares/0.0002543127198745391,
themeserialkiller/0.0007605360467860796,shippingtorpedo/0.000795189105909249,closingcredits/0.00016748888482855229,cutaslicetaketherest/0.0005265494491879781,shouldntwebeinschoolrightnow/0.000832919309115352,softwater/0.000450879214468213,icanstillfight/0.0007429675266039526,tonguetrauma/0.0008735666125301442,newlifeinanotherworldbonus/0.0006689176275721476,prisonerexchange/0.0008681885501251213,canthavesexever/0.0006560449859418932,handsoffparenting/0.0008418115785169685,lastminutebabynaming/0.0006742791808973777,trainstopping/0.0007553470620974796,truthserums/0.0009854719089708423,,,derivativeworks/0.00021159542953872197,narrativedrivennaturedocumentary/0.0002543127198745391,
sexisevil/0.0007605360467860796,stealingthecredit/0.000795189105909249,troubledproduction/0.00016748888482855229,worldofweirdness/0.0005265494491879781,moodswinger/0.00082561299938627,bringit/0.0004453128044130499,shouldersofdoom/0.0007429675266039526,mikenelsondestroyerofworlds/0.0008735666125301442,heartbeatdown/0.0006689176275721476,monsterprogenitor/0.0008426535927685,slidingscaleofvillaineffectiveness/0.0006426563127594055,sexlessmarriage/0.0008418115785169685,coveredup/0.0006742791808973777,magiccarpet/0.0007553470620974796,mutualkill/0.0009854719089708423,,,richierich/0.00021159542953872197,filmsofthe1940s/0.0002543127198745391,
bigsecret/0.0007605360467860796,sexysilhouette/0.000795189105909249,geek/0.00015226262257141116,twordeuphemism/0.0005265494491879781,itrunsinthefamily/0.00082561299938627,littleno/0.0004453128044130499,cosmicdeadline/0.0007429675266039526,luckybastard/0.0008735666125301442,anatomyofthesoul/0.0006689176275721476,creepyblueeyes/0.0008426535927685,perkyfemaleminion/0.0006426563127594055,rightthroughthewall/0.0008418115785169685,notimportanttothisepisodecamp/0.0006596209378343912,ourgoblinsaredifferent/0.0007553470620974796,theunfettered/0.000975312404754648,,,paranoia/0.00021159542953872197,anachronisticanimal/0.00021192726656211588,
suicideisshameful/0.0007605360467860796,pastexperiencenightmare/0.000795189105909249,guidedangit/0.00012942322918569948,queerpeoplearefunny/0.0005265494491879781,smartpeoplewearglasses/0.00082561299938627,plottailoredtotheparty/0.0004453128044130499,screamingwarrior/0.0007429675266039526,productionthrowback/0.0008735666125301442,summer2011anime/0.0006689176275721476,enhancedinterrogationtechniques/0.0008426535927685,differentlypoweredindividual/0.0006426563127594055,halfbreeddiscrimination/0.000829785698823869,antihumor/0.0006596209378343912,superheroorigin/0.0007553470620974796,livingliedetector/0.0009651529005384537,,,threeactstructure/0.00021159542953872197,loopedlyrics/0.00021192726656211588,
hollywoodmilitaryuniform/0.0007605360467860796,iwasbeatenbyagirl/0.000795189105909249,swashbuckler/0.00012181009805712893,knockknockjoke/0.0005265494491879781,accidentalhero/0.00082561299938627,thelastdance/0.0004453128044130499,cyberspace/0.0007315372569638918,tendertears/0.0008735666125301442,haremnanny/0.0006689176275721476,cardsharp/0.0008426535927685,noblewolf/0.0006426563127594055,insaneequalsviolent/0.000829785698823869,stocksitcomgrandfinale/0.0006596209378343912,dangerroomcoldopen/0.0007354695078317563,sacrificiallamb/0.0009651529005384537,,,musicalsquares/0.00021159542953872197,humanlikefootanatomy/0.00021192726656211588,
persecutionflip/0.0007605360467860796,breakupmakeupscenario/0.000782764276129417,fandumb/0.00010658383579998782,robinsonade/0.0005265494491879781,creepycrossdresser/0.00082561299938627,lovingashadow/0.0004453128044130499,futureimperfect/0.0007315372569638918,modestyshorts/0.0008735666125301442,pummelduel/0.0006370644072115691,blacksite/0.0008426535927685,lookslikeorlok/0.0006426563127594055,protagonistjourneytovillain/0.000829785698823869,oursloganisterrible/0.0006596209378343912,decoygetaway/0.0007354695078317563,absurdlyhighstakesgame/0.0009651529005384537,,,inandoutofcharacter/0.00021159542953872197,typewritereating/0.00021192726656211588,
postnineeleventerrorismmovie/0.0007605360467860796,orphanedseries/0.000782764276129417,headsiwintailsyoulose/0.00010658383579998782,lyingfingercross/0.0005265494491879781,mirroruniverse/0.00082561299938627,casttheexpert/0.0004453128044130499,whyamiticking/0.0007315372569638918,confusionfu/0.0008735666125301442,sevenisnana/0.0006370644072115691,revealinginjury/0.0008426535927685,terminatortwosome/0.0006426563127594055,ashestocrashes/0.000829785698823869,lampshadedtheobscurereference/0.0006596209378343912,thenotablenumeral/0.0007354695078317563,deathtrap/0.0009651529005384537,,,bullfightboss/0.00021159542953872197,filmsofthe1930s/0.00021192726656211588,
timedelayeddeath/0.0007605360467860796,westernzodiac/0.000782764276129417,plotpoint/9.13575735428467e-05,ovenlogic/0.0005265494491879781,jawdrop/0.000818306689657188,fingergun/0.0004453128044130499,mysteriouswaif/0.0007315372569638918,girlshowghetto/0.0008735666125301442,magicdance/0.0006370644072115691,shoottherope/0.0008426535927685,ourtimetravelisdifferent/0.0006426563127594055,mafiaprincess/0.000829785698823869,milehighclub/0.0006596209378343912,deathbysecretidentity/0.0007354695078317563,blackandwhitemorality/0.0009651529005384537,,,everythingismessierwithpigs/0.00021159542953872197,sharkstories/0.00021192726656211588,
communicationsofficer/0.0007605360467860796,toohotfortv/0.000782764276129417,garnishingthestory/8.374444241427614e-05,girlscoutsareevil/0.0005265494491879781,thematicthemetune/0.000818306689657188,ofcorpsehesalive/0.0004453128044130499,justamachine/0.0007315372569638918,diedduringproduction/0.0008735666125301442,samuraistories/0.0006370644072115691,waifprophet/0.0008426535927685,beehivebarrier/0.0006426563127594055,fashiondissonance/0.000829785698823869,idiotsavant/0.0006596209378343912,unisexseriesgenderedmerchandise/0.0007354695078317563,spycatsuit/0.0009549933963222595,,,gameoverman/0.00021159542953872197,filmsofthe1950s/0.0001695418132496927,
snufffilm/0.0007605360467860796,dcupdistress/0.000782764276129417,distancedfromcurrentevents/7.613131128570558e-05,coincidentalaccidentaldisguise/0.0005265494491879781,everythingsoundssexierinfrench/0.000818306689657188,icantbelieveimsayingthis/0.0004453128044130499,notquiteflight/0.0007315372569638918,thedollepisode/0.0008612628574240858,digitalbikini/0.0006370644072115691,gangsterfiction/0.0008426535927685,thebattlestar/0.0006426563127594055,goodbadgirl/0.0008177598191307694,racialfaceblindness/0.0006596209378343912,evilisonebighappyfamily/0.0007354695078317563,trickstermentor/0.0009549933963222595,,,trolls/0.00021159542953872197,slipperyasaneel/0.0001695418132496927,
coffincontraband/0.0007605360467860796,panderingtothebase/0.000782764276129417,thisisyourpremiseondrugs/6.0905049028564466e-05,firstnameultimatum/0.0005265494491879781,thegenericguy/0.000818306689657188,outlawcouple/0.0004453128044130499,rivalturnedevil/0.0007315372569638918,deliberatelycutechild/0.0008612628574240858,winter2012anime/0.0006370644072115691,healitwithfire/0.0008426535927685,golem/0.0006292676395769179,sleepingwiththeboss/0.0008177598191307694,revivalbycommercialization/0.0006596209378343912,costumeschangeyoursize/0.0007155919535660332,deadlyeuphemism/0.0009549933963222595,,,mercymode/0.00021159542953872197,koreanmedia/0.0001695418132496927,
crimetimesoap/0.0007605360467860796,dyehard/0.000770339446349585,,arewethereyet/0.0005265494491879781,stoutstrength/0.0008110003799281059,writeronboard/0.0004453128044130499,handblast/0.0007315372569638918,flyingbroomstick/0.0008612628574240858,enhancedpunch/0.0006370644072115691,thejoffrey/0.0008426535927685,ourminotaursaredifferent/0.0006292676395769179,putonabustohell/0.0008177598191307694,serenadeyourlover/0.0006596209378343912,noblebirdofprey/0.0007155919535660332,goodoldfisticuffs/0.0009549933963222595,,,fifteenpuzzle/0.00021159542953872197,wraparound/0.0001695418132496927,
interrogationmontage/0.0007605360467860796,percussivetherapy/0.000770339446349585,,silentsnarker/0.0005265494491879781,americanshatetingle/0.0008110003799281059,unfazedeveryman/0.00043974639435788676,flingalightintothefuture/0.0007315372569638918,rivalsteamup/0.0008489591023180275,kidsamurai/0.0006370644072115691,genghisgambit/0.0008426535927685,loadbearingboss/0.0006292676395769179,weddingfinale/0.0008177598191307694,faileddramaticexit/0.0006449626947714047,transflormation/0.0007155919535660332,rasputiniandeath/0.0009549933963222595,,,goingfuraswim/0.00021159542953872197,christmasmoviesindex/0.0001695418132496927,
courtmartialed/0.0007605360467860796,tvgenius/0.000770339446349585,,followthebouncingball/0.0005265494491879781,singlemindedtwins/0.0008036940701990239,justlikerobinhood/0.00043974639435788676,negativespacewedgie/0.0007315372569638918,wordsaladlyrics/0.0008489591023180275,haircolorspoiler/0.0006370644072115691,sniperrifle/0.0008426535927685,swordandgun/0.0006292676395769179,villainousincest/0.0008057339394376699,bachelorauction/0.0006449626947714047,colossusclimb/0.0007155919535660332,shoephone/0.0009549933963222595,,,mookbouncer/0.00021159542953872197,moralityballad/0.0001695418132496927,
idealizedsex/0.0007605360467860796,pantythief/0.000770339446349585,,doomityourself/0.0005162249501842923,theunsmile/0.0008036940701990239,godguise/0.00043974639435788676,yourworstnightmare/0.000720106987323831,pinkyswear/0.0008489591023180275,summer2014anime/0.0006370644072115691,femmefatalespy/0.0008426535927685,celestialbureaucracy/0.0006292676395769179,captainslog/0.0008057339394376699,funnycharacterboringactor/0.0006449626947714047,redgreencontrast/0.0007155919535660332,technicalpacifist/0.0009448338921060652,,,progressiverock/0.00021159542953872197,messymalefancyfemale/0.0001695418132496927,
