Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
signaturemove/0.0006171252249935716,improperlyparanoid/0.0009677986978708429,weirdnesscensor/0.0008424250794089214,sevendeadlysins/0.0003681933541099583,ladydrunk/0.0008306123618032881,acrofatic/0.0009039926341340922,auravision/0.000791958574474566,successfulsiblingsyndrome/0.0008447447981504535,sealedevilinaduel/0.0007253165704614827,nicehat/0.0010533138875384864,tendertears/0.0010131050034314847,amazingfreakinggrace/0.0007333369547503938
burnthewitch/0.0006171252249935716,hatefic/0.0009677986978708429,gracefulloser/0.0008424250794089214,titlesequencereplacement/0.0003681933541099583,justplanewrong/0.0008306123618032881,talkingthemonstertodeath/0.0009039926341340922,mysticalpregnancy/0.000791958574474566,dagwoodsandwich/0.0008447447981504535,doppelgangerattack/0.0007253165704614827,soundtrackdissonance/0.0010533138875384864,stalkingislove/0.0010131050034314847,citizenshipmarriage/0.0007333369547503938
debutqueue/0.0006171252249935716,clonearmy/0.0009677986978708429,culturaltranslation/0.0008424250794089214,letsmeetthemeat/0.0003681933541099583,mirandarights/0.0008306123618032881,alliterativetitle/0.0009039926341340922,eternalenglish/0.000791958574474566,inoneearouttheother/0.0008447447981504535,comicbookmoviesdontusecodenames/0.0007253165704614827,centraltheme/0.0010533138875384864,somethingaboutarose/0.0010131050034314847,egocentricteamnaming/0.0007333369547503938
battlecry/0.0006171252249935716,gloryseeker/0.0009677986978708429,fullnameultimatum/0.0008424250794089214,supercellreception/0.0003681933541099583,hologram/0.0008306123618032881,rageagainstthereflection/0.0009039926341340922,pretendtobebrainwashed/0.000791958574474566,themagazinerule/0.0008447447981504535,detonationmoon/0.0007253165704614827,itsallaboutme/0.0010533138875384864,foreheadofdoom/0.0010131050034314847,iwasquiteafashionvictim/0.0007333369547503938
customuniform/0.0006171252249935716,impendingdoompov/0.0009677986978708429,soreloser/0.0008424250794089214,nonsequitur/0.0003681933541099583,drunkdriver/0.0008306123618032881,heythatsmyline/0.0009039926341340922,impersonatingtheeviltwin/0.000791958574474566,cheerupepisode/0.0008447447981504535,bewaremystingertail/0.0007253165704614827,itspersonal/0.0010533138875384864,harddrinkingpartygirl/0.0009804241968691787,thecouch/0.0007333369547503938
hanniballecture/0.0006171252249935716,sterilityplague/0.0009677986978708429,onlyonename/0.0008424250794089214,magicfranchiseword/0.0003681933541099583,butnottoogay/0.0008306123618032881,minionwithanfinevil/0.0009039926341340922,unfinisheduntestedusedanyway/0.000791958574474566,kidsshowmascotparody/0.0008447447981504535,thecape/0.0007253165704614827,anachronismstew/0.0010533138875384864,technicoloreyes/0.0009804241968691787,theiloveyoustigma/0.0007333369547503938
solesurvivor/0.0006171252249935716,applicability/0.0009677986978708429,spotoftea/0.0008424250794089214,shortlivedbigimpact/0.0003681933541099583,droppedafterthepilot/0.0008306123618032881,girlsnightoutepisode/0.0009039926341340922,videophone/0.0007614986293024672,acmeproducts/0.0008447447981504535,goldensupermode/0.0007253165704614827,redemptionequalsdeath/0.0010533138875384864,notsoforgottenbirthday/0.0009804241968691787,yougogirl/0.0007333369547503938
conversewiththeunconscious/0.0006171252249935716,peopleofhaircolor/0.0009677986978708429,brainlessbeauty/0.0008424250794089214,grailinthegarbage/0.0003681933541099583,blackwidow/0.0008306123618032881,justhereforgodzilla/0.0008872520297982758,explosiveinstrumentation/0.0007614986293024672,argumentofcontradictions/0.0008447447981504535,wreathedinflames/0.0007253165704614827,canonforeigner/0.0010371090584994328,gagsub/0.0009804241968691787,thebore/0.0007333369547503938
brokeyourarmpunchingoutcthulhu/0.0006171252249935716,changelingtale/0.0009677986978708429,assshove/0.0008424250794089214,brainfood/0.0003681933541099583,whitemalelead/0.0008306123618032881,nevertheselvesshallmeet/0.0008872520297982758,mechanicallifeforms/0.0007614986293024672,politicianskissbabies/0.0008447447981504535,lovefreak/0.0007253165704614827,theatoner/0.0010371090584994328,manzai/0.0009804241968691787,asianairhead/0.0007333369547503938
slidingscaleofantivillains/0.0006171252249935716,belatedloveepiphany/0.0009677986978708429,youmightremembermefrom/0.0008424250794089214,brieferthantheythink/0.0003681933541099583,sleepingwiththeboss/0.0008306123618032881,creatorspest/0.0008872520297982758,unwillingroboticisation/0.0007614986293024672,songparody/0.0008447447981504535,adaptationalnationality/0.0007253165704614827,greeneyedmonster/0.0010371090584994328,stalkingisfunnyifitisfemaleaftermale/0.0009804241968691787,ratingsstunt/0.0007333369547503938
nervesofsteel/0.0006171252249935716,homeofmonsters/0.0009677986978708429,calvinball/0.0008286148322054964,walkingdisasterarea/0.0003681933541099583,omniscientdatabase/0.0008306123618032881,andthenwhat/0.0008872520297982758,abandonship/0.0007614986293024672,hornyvikings/0.0008447447981504535,familyeyeresemblance/0.0007253165704614827,memeticmutation/0.0010371090584994328,caughttheheartonhissleeve/0.0009804241968691787,sixisnine/0.0007333369547503938
lightisgood/0.0006171252249935716,superbreedingprogram/0.0009677986978708429,breakthroughhit/0.0008286148322054964,likeaducktakestowater/0.0003681933541099583,wardensareevil/0.0008306123618032881,youdontlooklikeyou/0.0008872520297982758,robocam/0.0007614986293024672,thefreelanceshamesquad/0.0008447447981504535,theobiwan/0.0007253165704614827,doublestandardabusefemaleonmale/0.0010371090584994328,girlnextdoor/0.0009804241968691787,apologygift/0.0007333369547503938
ourheroisdead/0.0006171252249935716,justyouandmeandmyguards/0.0009677986978708429,gainaxending/0.0008286148322054964,unfrozencavemanlawyer/0.0003550435914631741,defectivedetective/0.0008306123618032881,missioncontrol/0.0008872520297982758,trainingthepeacefulvillagers/0.0007614986293024672,levelate/0.0008447447981504535,spintodeflectstuff/0.0007253165704614827,whydidithavetobesnakes/0.0010371090584994328,friendversuslover/0.0009804241968691787,jailbake/0.0007333369547503938
rasputiniandeath/0.0006171252249935716,closerangecombatant/0.0009677986978708429,eightieshair/0.0008286148322054964,angryguarddog/0.0003550435914631741,mirrorscare/0.0008306123618032881,lightningcandoanything/0.0008872520297982758,leaveyourquesttest/0.0007614986293024672,beanstalkparody/0.0008447447981504535,thefightingnarcissist/0.0007253165704614827,recycledinspace/0.0010371090584994328,keigo/0.0009804241968691787,crackohmyback/0.0007333369547503938
shooouttheclowns/0.0006171252249935716,shiningcity/0.0009677986978708429,creditsgag/0.0008286148322054964,lampshadedtheobscurereference/0.0003550435914631741,publicsecretmessage/0.0008306123618032881,horrifyingthehorror/0.0008872520297982758,orbitalbombardment/0.0007614986293024672,lampshadewearing/0.0008447447981504535,combatclairvoyance/0.0007253165704614827,everyonehasstandards/0.0010371090584994328,endofanage/0.0009804241968691787,transatlanticequivalent/0.0007333369547503938
sigilspam/0.0006171252249935716,faintingseer/0.0009677986978708429,valleygirl/0.0008286148322054964,genreroulette/0.0003550435914631741,moneytothrowaway/0.0008019705562238643,battleinthecenterofthemind/0.0008872520297982758,wintoexit/0.0007614986293024672,coconutmeetscranium/0.0008447447981504535,vainsorceress/0.0007253165704614827,fakingthedead/0.0010371090584994328,lineofsightname/0.0009804241968691787,cavemenvsastronautsdebate/0.0007333369547503938
significantwardrobeshift/0.0006171252249935716,tanksfornothing/0.0009677986978708429,mysisterisofflimits/0.0008286148322054964,justastupidaccent/0.0003550435914631741,monochromepast/0.0008019705562238643,reclusiveartist/0.0008872520297982758,ourtimetravelisdifferent/0.0007614986293024672,plumberscrack/0.0008447447981504535,teammemberintheadaptation/0.0007253165704614827,brokenpedestal/0.0010371090584994328,thebeautifulelite/0.0009804241968691787,notthattheresanythingwrongwiththat/0.0007061763267966755
morethanmindcontrol/0.0006171252249935716,highpriest/0.0009677986978708429,thenineties/0.0008286148322054964,alliterativefamily/0.0003550435914631741,mamasbabypapasmaybe/0.0008019705562238643,thecorrupter/0.0008872520297982758,rewritingreality/0.0007614986293024672,eventhedogisashamed/0.0008447447981504535,barriermaiden/0.0007253165704614827,becomingthemask/0.0010209042294603793,modestyshorts/0.0009804241968691787,coincidentalaccidentaldisguise/0.0007061763267966755
wasitallalie/0.0006171252249935716,noblesavage/0.0009677986978708429,cult/0.0008286148322054964,footpopping/0.0003550435914631741,dontask/0.0008019705562238643,donotadjustyourset/0.0008872520297982758,backstoryinvader/0.0007614986293024672,intentionalmessmaking/0.0008447447981504535,lunacy/0.0007253165704614827,aiisacrapshoot/0.0010209042294603793,blushsticker/0.0009804241968691787,translationyes/0.0007061763267966755
boomerangbigot/0.0006171252249935716,parrotpetposition/0.0009677986978708429,goodcopbadcop/0.0008286148322054964,solarpoweredmagnifyingglass/0.0003550435914631741,fixingthegame/0.0008019705562238643,beingevilsucks/0.0008705114254624592,bizarresexualdimorphism/0.0007614986293024672,fisheyes/0.0008447447981504535,excessiveevileyeshadow/0.0007253165704614827,hairtriggertemper/0.0010209042294603793,doomednewclothes/0.0009804241968691787,thefoodpoisoningincident/0.0007061763267966755
armorisuseless/0.0006042684494728722,vampirefiction/0.0009677986978708429,brokeepisode/0.0008286148322054964,finalemovie/0.0003550435914631741,thefundamentalist/0.0008019705562238643,spottheimposter/0.0008705114254624592,crystalspiresandtogas/0.0007614986293024672,rogerrabbiteffect/0.0008447447981504535,goodpowersbadpeople/0.0007253165704614827,combatpragmatist/0.0010209042294603793,househusband/0.0009804241968691787,notevenbotheringwithanexcuse/0.0007061763267966755
earache/0.0006042684494728722,holdingyourshouldermeansinjury/0.0009677986978708429,continuityporn/0.0008286148322054964,karmicjackpot/0.0003550435914631741,everybodymustgetstoned/0.0008019705562238643,evilformerfriend/0.0008705114254624592,nobiologicalsex/0.0007614986293024672,insufferableimbecile/0.0008447447981504535,traumaticsuperpowerawakening/0.0007253165704614827,youhavefailedme/0.0010209042294603793,pantythief/0.0009804241968691787,birthdaypartygoeswrong/0.0007061763267966755
thebaroness/0.0006042684494728722,minovskyphysics/0.0009677986978708429,brainybrunette/0.0008286148322054964,drawingstraws/0.0003550435914631741,longrunnercastturnover/0.0008019705562238643,lonelyrichkid/0.0008705114254624592,nonactionsnarker/0.0007614986293024672,explodingcloset/0.0008447447981504535,disabledintheadaptation/0.0007253165704614827,whatmeasureisanonhuman/0.0010209042294603793,teamshot/0.0009804241968691787,forgotflanderscoulddothat/0.0007061763267966755
fauxactiongirl/0.0006042684494728722,menacingstroll/0.0009677986978708429,breakouthit/0.0008286148322054964,itsthesamenowitsucks/0.0003550435914631741,heroinsurance/0.0008019705562238643,alternateuniversefic/0.0008705114254624592,yearoutsidehourinside/0.0007614986293024672,sameclothesdifferentyear/0.0008447447981504535,superheroprevalencestages/0.0007253165704614827,thechewtoy/0.0010209042294603793,facefault/0.0009477433903068728,deadpetsketch/0.0007061763267966755
pregnantbadass/0.0006042684494728722,lightninglash/0.0009677986978708429,handorobjectunderwear/0.0008286148322054964,bigegohiddendepths/0.0003550435914631741,keepingsecretssucks/0.0008019705562238643,castasamask/0.0008705114254624592,artifactalias/0.0007614986293024672,nationalanimalstereotypes/0.0008447447981504535,fightingyourfriend/0.0007253165704614827,lethalchef/0.0010209042294603793,greeneyedepiphany/0.0009477433903068728,unfortunateitemswap/0.0007061763267966755
thanatosgambit/0.0006042684494728722,offscreenafterlife/0.0009677986978708429,recursivecanon/0.0008148045850020716,themadhatter/0.0003550435914631741,thatonecase/0.0008019705562238643,wordsaladtitle/0.0008705114254624592,overridecommand/0.0007614986293024672,brokenglasspenalty/0.0008002845456162192,worldtree/0.0007253165704614827,amusinginjuries/0.0010209042294603793,forgottenbirthday/0.0009477433903068728,hitleratesugar/0.0007061763267966755
tearsofblood/0.0006042684494728722,tomboyprincess/0.0009677986978708429,myhovercraftisfullofeels/0.0008148045850020716,asianandnerdy/0.0003550435914631741,sexsells/0.0008019705562238643,hideyourlesbians/0.0008705114254624592,customuniformofsexy/0.0007614986293024672,shaggyfrogstory/0.0008002845456162192,powerparasite/0.0007253165704614827,notwhatitlookslike/0.0010209042294603793,theingenue/0.0009477433903068728,sexlessmarriage/0.0007061763267966755
lifeorlimbdecision/0.0006042684494728722,dirtforcefield/0.0009677986978708429,welcomeepisode/0.0008148045850020716,parentsforaday/0.0003550435914631741,unkemptbeauty/0.0008019705562238643,ihatepastme/0.0008705114254624592,theonewhereeveryonedies/0.0007614986293024672,suddenlyfluentingibberish/0.0008002845456162192,ourfairiesaredifferent/0.0007253165704614827,captainobvious/0.0010209042294603793,ambiguousgenderidentity/0.0009477433903068728,sawstarwarstwentyseventimes/0.0007061763267966755
undignifieddeath/0.0006042684494728722,constructedworld/0.0009677986978708429,daydreamsurprise/0.0008148045850020716,dreamcrushinghandicap/0.0003550435914631741,mostwritersarewriters/0.0008019705562238643,sciencefictionfanfic/0.0008705114254624592,improbablepilotingskills/0.0007614986293024672,brotherhoodoffunnyhats/0.0008002845456162192,villaintakesaninterest/0.0007253165704614827,literalminded/0.0010046994004213256,lateforschool/0.0009477433903068728,secretotherfamily/0.0007061763267966755
poisonousfriend/0.0006042684494728722,hotconsort/0.0009677986978708429,rockpaperscissors/0.0008148045850020716,andyouthoughtitwasagame/0.0003550435914631741,covertgroupwithmundanefront/0.0008019705562238643,notnowkiddo/0.0008537708211266427,spacepolice/0.0007614986293024672,isophagus/0.0008002845456162192,timetounlockmoretruepotential/0.0007253165704614827,ungratefulbastard/0.0010046994004213256,sacrificiallion/0.0009477433903068728,theshowgoeshollywood/0.0007061763267966755
falseflagoperation/0.0006042684494728722,playingwithpuppets/0.0009677986978708429,pungeonmaster/0.0008148045850020716,hauntedhouse/0.0003550435914631741,getintojailfree/0.0008019705562238643,bigredbutton/0.0008537708211266427,fantasticcastesystem/0.0007614986293024672,walktheplank/0.0008002845456162192,demonlordsandarchdevils/0.0006950950466922542,sickepisode/0.0010046994004213256,postergallerybedroom/0.0009477433903068728,babysfirstwords/0.0007061763267966755
fatalfamilyphoto/0.0006042684494728722,thunderboltiron/0.0009677986978708429,throwthedogabone/0.0008148045850020716,asleepfordays/0.0003550435914631741,hardhead/0.0008019705562238643,luckytranslation/0.0008537708211266427,throwawaycountry/0.0007614986293024672,mistakenforthief/0.0008002845456162192,civviespandex/0.0006950950466922542,aluminumchristmastrees/0.0010046994004213256,twiceshy/0.0009477433903068728,somebodydoesntloveraymond/0.0007061763267966755
deusangstmachina/0.0006042684494728722,snipingthecockpit/0.0009677986978708429,whowouldbestupidenough/0.0008148045850020716,groupiebrigade/0.0003550435914631741,mobwar/0.0008019705562238643,culturalcrossreference/0.0008537708211266427,scifiwritershavenosenseofscale/0.0007614986293024672,christmaselves/0.0008002845456162192,magicwand/0.0006950950466922542,darkandtroubledpast/0.0010046994004213256,sleepsinthenude/0.0009477433903068728,decidedbyonevote/0.0007061763267966755
sinsofourfathers/0.0006042684494728722,shortrangelongrangeweapon/0.0009677986978708429,neverheardthatonebefore/0.0008148045850020716,arsonmurderandadmiration/0.0003550435914631741,notsodire/0.0008019705562238643,cheerfulchild/0.0008537708211266427,butwhatabouttheastronauts/0.0007614986293024672,libraryepisode/0.0008002845456162192,powersviapossession/0.0006950950466922542,totallyradical/0.0010046994004213256,censorsteam/0.0009477433903068728,fleetingpassionatehobbies/0.0007061763267966755
musicalassassin/0.0006042684494728722,immortalitybisexuality/0.0009677986978708429,righthandcat/0.0008148045850020716,hermaphrodite/0.0003550435914631741,moleincharge/0.0008019705562238643,catchphraseinsult/0.0008537708211266427,feeditwithfire/0.0007310386841303686,bubblepipe/0.0008002845456162192,jackofallstats/0.0006950950466922542,appliedphlebotinum/0.0010046994004213256,delinquents/0.0009477433903068728,bleepdammit/0.0007061763267966755
thealcatraz/0.0006042684494728722,identityconcealmentdisposal/0.0009677986978708429,hiddenheartofgold/0.0008148045850020716,followinmyfootsteps/0.0003550435914631741,officerohara/0.0008019705562238643,jetpack/0.0008537708211266427,motherlyscientist/0.0007310386841303686,veryfalseadvertising/0.0008002845456162192,cutewitch/0.0006950950466922542,explainexplainohcrap/0.0010046994004213256,slipknotponytail/0.0009477433903068728,andadietcoke/0.0007061763267966755
dragoninchief/0.0005914116739521728,rebelrelaxation/0.0009677986978708429,neatfreak/0.0008148045850020716,facialcompositefailure/0.0003550435914631741,witnessprotection/0.0008019705562238643,gratuitousjapanese/0.0008537708211266427,retronym/0.0007310386841303686,iamgreatsong/0.0008002845456162192,loyalphlebotinum/0.0006950950466922542,dealwiththedevil/0.0010046994004213256,adaptationinducedplothole/0.0009477433903068728,twowordsicantcount/0.0007061763267966755
careerendinginjury/0.0005914116739521728,ascendeddemon/0.0009677986978708429,youdonotwanttoknow/0.0008148045850020716,sickandwrong/0.0003550435914631741,plausibledeniability/0.0008019705562238643,wheredoeshegetallthosewonderfultoys/0.0008370302167908262,singlebiomeplanet/0.0007310386841303686,impossibleshadowpuppets/0.0008002845456162192,hellhound/0.0006950950466922542,bareyourmidriff/0.000988494571382272,dirtykid/0.0009477433903068728,suddenlybilingual/0.0007061763267966755
spitefulspit/0.0005914116739521728,tookalevelinidealism/0.0009677986978708429,ijustwanttobespecial/0.0008009943377986466,wantsaprizeforbasicdecency/0.0003550435914631741,arealmanisakiller/0.0008019705562238643,actionmom/0.0008370302167908262,handyremotecontrol/0.0007310386841303686,tincantelephone/0.0008002845456162192,beatthecurseoutofhim/0.0006950950466922542,informedability/0.000988494571382272,hotspringsepisode/0.0009477433903068728,streisandeffect/0.0007061763267966755
pragmatichero/0.0005914116739521728,goodweaponevilweapon/0.0008798169980644026,betweenmylegs/0.0008009943377986466,brickbreak/0.0003550435914631741,replacementflatcharacter/0.0008019705562238643,continuitydrift/0.0008370302167908262,importedalienphlebotinum/0.0007310386841303686,youmustbethistalltoride/0.0008002845456162192,ancientevil/0.0006950950466922542,executivemeddling/0.000988494571382272,relativelyflimsyexcuse/0.0009477433903068728,grammarnazi/0.0007061763267966755
extremelyshorttimespan/0.0005914116739521728,recoilboost/0.0008798169980644026,controlfreak/0.0008009943377986466,slashfic/0.0003550435914631741,itnevergetsanyeasier/0.0008019705562238643,postkisscatatonia/0.0008370302167908262,raisehimrightthistime/0.0007310386841303686,battylipburbling/0.0008002845456162192,rememberedicouldfly/0.0006950950466922542,startofdarkness/0.000988494571382272,technicianversusperformer/0.0009150625837445668,thefuninfuneral/0.0007061763267966755
emptyshell/0.0005914116739521728,humandemonhybrid/0.0008798169980644026,theglassescomeoff/0.0008009943377986466,howisthatevenpossible/0.0003550435914631741,defiledforever/0.0008019705562238643,villainexitstageleft/0.0008370302167908262,creativesterility/0.0007310386841303686,piggybank/0.0008002845456162192,outdoorbathpeeping/0.0006950950466922542,humiliationconga/0.000988494571382272,testosteronebrigade/0.0009150625837445668,allperiodsarepms/0.0007061763267966755
withmyhandstied/0.0005914116739521728,vampiresarerich/0.0008798169980644026,ignoredepiphany/0.0008009943377986466,foodpills/0.0003550435914631741,ilikethoseodds/0.0008019705562238643,invisibility/0.0008370302167908262,plotdrivenbreakdown/0.0007310386841303686,nerdynasalness/0.0008002845456162192,skysurfing/0.0006950950466922542,asyouknow/0.000988494571382272,animechinesegirl/0.0009150625837445668,blackcomedycannibalism/0.0007061763267966755
martialpacifist/0.0005914116739521728,ourbansheesarelouder/0.0008798169980644026,rightbehindme/0.0008009943377986466,citywithnoname/0.0003550435914631741,cunninglinguist/0.0008019705562238643,nonmammalmammaries/0.0008370302167908262,spaceiscold/0.0007310386841303686,autotune/0.0008002845456162192,itsuckstobethechosenone/0.0006950950466922542,shockandawe/0.000988494571382272,aborteddeclarationoflove/0.0009150625837445668,underthemistletoe/0.0007061763267966755
heroicwillpower/0.0005914116739521728,siblingmurder/0.0008798169980644026,givennamereveal/0.0008009943377986466,edibleammunition/0.0003550435914631741,crimeandpunishmentseries/0.0008019705562238643,blobmonster/0.0008370302167908262,goalorientedevolution/0.0007310386841303686,misplacedkindergartenteacher/0.0008002845456162192,scaryscorpions/0.0006950950466922542,veryspecialepisode/0.000988494571382272,dramaqueen/0.0009150625837445668,leastrhymableword/0.0007061763267966755
multicoloredhair/0.0005914116739521728,thoughtcontrolledpower/0.0008798169980644026,huntingthemostdangerousgame/0.0008009943377986466,caninecompanion/0.0003550435914631741,wehavetogetthebulletout/0.0008019705562238643,robotbuddy/0.0008370302167908262,robotwar/0.0007310386841303686,bandepisode/0.0008002845456162192,adaptationalsympathy/0.0006950950466922542,wouldhitagirl/0.000988494571382272,performanceanxiety/0.0009150625837445668,mistakenforaliens/0.0007061763267966755
pragmaticvillainy/0.0005914116739521728,redonesgofaster/0.0008798169980644026,obliviouslyevil/0.0008009943377986466,niceshoes/0.0003550435914631741,idontwanttoruinourfriendship/0.0007733287506444406,teamtitle/0.0008370302167908262,madscientistlaboratory/0.0007310386841303686,animaltalk/0.0008002845456162192,killthegod/0.0006950950466922542,smallnamebigego/0.000988494571382272,classrepresentative/0.0009150625837445668,nameone/0.0007061763267966755
onlyafleshwound/0.0005914116739521728,metamecha/0.0008798169980644026,genderinvertedtrope/0.0008009943377986466,russianreversal/0.0003550435914631741,disabledloveinterest/0.0007733287506444406,thosewackynazis/0.0008370302167908262,immortalprocreationclause/0.0007310386841303686,wildlifecommentaryspoof/0.0008002845456162192,tobeamaster/0.0006950950466922542,badassadorable/0.0009722897423432182,youkai/0.0009150625837445668,hormoneaddledteenager/0.0006790156988429573
bestservedcold/0.0005914116739521728,invisiblemeansundodgeable/0.0008798169980644026,addedalliterativeappeal/0.0008009943377986466,theend/0.0003550435914631741,jacktheripoff/0.0007733287506444406,rulesixtythree/0.0008370302167908262,weathermanipulation/0.0007310386841303686,toothfairy/0.0008002845456162192,magicalgirlwarrior/0.0006950950466922542,foil/0.0009722897423432182,thesilentbob/0.0009150625837445668,oopsiforgotiwasmarried/0.0006790156988429573
deadmanwriting/0.0005914116739521728,filmcomic/0.0008798169980644026,youjusttoldme/0.0008009943377986466,pronouncingmynameforyou/0.0003550435914631741,titledafterthesong/0.0007733287506444406,lanternjawofjustice/0.0008370302167908262,youareacredittoyourrace/0.0007310386841303686,nobodysthatdumb/0.0008002845456162192,costumecopycat/0.0006950950466922542,serialescalation/0.0009722897423432182,ninjamaid/0.0009150625837445668,thefriendnobodylikes/0.0006790156988429573
baitthedog/0.0005914116739521728,nerf/0.0008798169980644026,alwaysidenticaltwins/0.0008009943377986466,nothingexcitingeverhappenshere/0.0003418938288163899,themountainsofillinois/0.0007733287506444406,replacedthethemetune/0.0008370302167908262,bornasanadult/0.0007310386841303686,twomenonedress/0.0008002845456162192,defeatequalsexplosion/0.0006950950466922542,realitywarper/0.0009722897423432182,poseofsupplication/0.0009150625837445668,badnewsinagoodway/0.0006790156988429573
ancientconspiracy/0.0005914116739521728,adamandoreve/0.0008798169980644026,fullyautomaticclipshow/0.0008009943377986466,secrettest/0.0003418938288163899,badhabits/0.0007733287506444406,sciencefantasy/0.0008370302167908262,easilythwartedalieninvasion/0.0007310386841303686,wewantouridiotback/0.0008002845456162192,agelift/0.0006950950466922542,thesmurfetteprinciple/0.0009722897423432182,thematchmaker/0.0009150625837445668,pedophilepriest/0.0006790156988429573
pullingthemselvestogether/0.0005785548984314734,goodprincessevilqueen/0.0008798169980644026,pottyfailure/0.0008009943377986466,tasteslikechicken/0.0003418938288163899,neardeathexperience/0.0007733287506444406,anasskickingchristmas/0.0008370302167908262,aliennoninterferenceclause/0.0007310386841303686,animalsuperheroes/0.0008002845456162192,warriorprince/0.0006950950466922542,doublestandard/0.0009722897423432182,dancingtheme/0.0008823817771822608,reallyseventeenyearsold/0.0006790156988429573
wouldnthurtachild/0.0005785548984314734,transformers/0.0008798169980644026,theywastedaperfectlygoodsandwich/0.0008009943377986466,biglittleman/0.0003418938288163899,allofthem/0.0007733287506444406,pokemonspeak/0.0008370302167908262,xrayvision/0.0007310386841303686,expressiveaccessory/0.0008002845456162192,razorwind/0.0006950950466922542,tomboyandgirlygirl/0.0009722897423432182,curse/0.0008823817771822608,wheredawhitewomenat/0.0006790156988429573
aristocratsareevil/0.0005785548984314734,neutralitybacklash/0.0008798169980644026,damnedbyfaintpraise/0.0008009943377986466,poeslaw/0.0003418938288163899,drinkingonduty/0.0007733287506444406,affirmativeactiongirl/0.0008202896124550096,cleavagewindow/0.0007310386841303686,doortodoorepisode/0.0008002845456162192,thegoodking/0.0006950950466922542,droppedabridgeonhim/0.0009560849133041647,pickyeater/0.0008823817771822608,mistakennationality/0.0006790156988429573
hiddenagendavillain/0.0005785548984314734,yousexybeast/0.0008798169980644026,thelastoftheseisnotliketheothers/0.0008009943377986466,feverdreamepisode/0.0003418938288163899,dangertakesabackseat/0.0007733287506444406,summonbiggerfish/0.0008202896124550096,doinginthescientist/0.0007310386841303686,tothetuneof/0.0008002845456162192,superherospeciation/0.0006950950466922542,insultbackfire/0.0009560849133041647,occidentalotaku/0.0008823817771822608,alterkocker/0.0006790156988429573
hisnameis/0.0005785548984314734,ourogresarehungrier/0.0008798169980644026,funnyforeigner/0.0008009943377986466,itsalljunk/0.0003418938288163899,hollywoodsilencer/0.0007733287506444406,laserhallway/0.0008202896124550096,theomniscient/0.0007310386841303686,guiltinducednightmare/0.0008002845456162192,handblast/0.0006950950466922542,ambiguouslygay/0.0009560849133041647,funsize/0.0008823817771822608,bathroomstallgraffiti/0.0006790156988429573
superempowering/0.0005785548984314734,stagesofmonstergrief/0.0008798169980644026,dowrongright/0.0008009943377986466,boltofdivineretribution/0.0003418938288163899,callingcard/0.0007733287506444406,killandreplace/0.0008202896124550096,sexbot/0.0007310386841303686,readingforeignsignsoutloud/0.0007558242930819847,phantomzone/0.0006950950466922542,timetravel/0.0009560849133041647,festivalepisode/0.0008823817771822608,nomatterhowmuchibeg/0.0006790156988429573
maddoctor/0.0005785548984314734,corporalpunishment/0.0008798169980644026,fictionalcounterpart/0.0007871840905952217,pajamacladhero/0.0003418938288163899,justthinkofthepotential/0.0007733287506444406,bigfootsasquatchandyeti/0.0008202896124550096,futureshadowing/0.0007310386841303686,chickenpoxepisode/0.0007558242930819847,animalbattleaura/0.0006950950466922542,yankthedogschain/0.0009560849133041647,impossiblytackyclothes/0.0008823817771822608,ibangedyourmom/0.0006790156988429573
healinghands/0.0005785548984314734,actionpolitician/0.0008798169980644026,lostfoodgrievance/0.0007871840905952217,tothebatpole/0.0003418938288163899,immunetodrugs/0.0007733287506444406,comicbookfantasycasting/0.0008202896124550096,losttechnology/0.0007310386841303686,silenttreatment/0.0007558242930819847,speeddemon/0.0006950950466922542,awlooktheyreallydoloveeachother/0.0009560849133041647,brokenwinlossstreak/0.0008823817771822608,worsewithcontext/0.0006790156988429573
icyblueeyes/0.0005785548984314734,wendigo/0.0008798169980644026,mendontcry/0.0007871840905952217,heistepisode/0.0003418938288163899,murderbymistake/0.0007733287506444406,omnidisciplinaryscientist/0.0008202896124550096,slidingscaleoffreewillvsfate/0.0007310386841303686,animatedshockcomedy/0.0007558242930819847,beyondredemption/0.0006950950466922542,evilversusevil/0.000939880084265111,keepitforeign/0.0008823817771822608,walkonthewildsideepisode/0.0006790156988429573
attackitsweakpoint/0.0005785548984314734,drawaggro/0.0008798169980644026,fandomlifecycle/0.0007871840905952217,titleconfusion/0.0003418938288163899,playsgreatethnics/0.0007733287506444406,broughttoyoubytheletters/0.0008202896124550096,geneticmemory/0.0007310386841303686,onewordvocabulary/0.0007558242930819847,proudwarriorraceguys/0.0006950950466922542,easilyforgiven/0.000939880084265111,girlyrun/0.0008823817771822608,worstwhateverever/0.0006790156988429573
meaningfulfuneral/0.0005785548984314734,spentshellsshower/0.0008798169980644026,ettubrute/0.0007871840905952217,samecharacterbutdifferent/0.0003418938288163899,fingerinthemail/0.0007733287506444406,nobodypoops/0.0008202896124550096,evilisnotwelllit/0.0007310386841303686,antirolemodel/0.0007558242930819847,antiantichrist/0.0006950950466922542,facepalm/0.000939880084265111,advicebackfire/0.0008823817771822608,twordeuphemism/0.0006790156988429573
